,PILOT: StateOwned Real Property,PILOT: StateOwned Real Property,PILOT: StateOwned Real Property,PILOT: Colleges & Hospitals,PILOT: Colleges & Hospitals,PILOT: Colleges & Hospitals,Mashantucket Pequot And Mohegan Fund Grant,Mashantucket Pequot And Mohegan Fund Grant,Mashantucket Pequot And Mohegan Fund Grant,Town Aid Road Fund Grant,Town Aid Road Fund Grant,Town Aid Road Fund Grant,Local Capital Improvement Program,Local Capital Improvement Program,Local Capital Improvement Program,Public School Pupil Transportation,Public School Pupil Transportation,Public School Pupil Transportation,NonPublic School Pupil Transportation,NonPublic School Pupil Transportation,NonPublic School Pupil Transportation,Adult Education,Adult Education,Adult Education,Education cost sharing grant,Education cost sharing grant,Education cost sharing grant,Grants for municipal projects,Grants for municipal projects,Grants for municipal projects,Municipal revenue sharing,Municipal revenue sharing,Municipal revenue sharing: Select payments in lieu of taxes,Municipal revenue sharing: Additional sales tax funds,Municipal revenue sharing: Additional sales tax funds,Municipal revenue sharing: Additional sales tax funds,Motor Vehicle Property Tax Grants,Motor Vehicle Property Tax Grants,Motor Vehicle Property Tax Grants,Statutory Formula Grants,Statutory Formula Grants,Statutory Formula Grants
Grantee,FY 2015,FY 2016,FY 2017,FY 2015,FY 2016,FY 2017,FY 2015,FY 2016,FY 2017,FY 2015,FY 2016,FY 2017,FY 2015,FY 2016,FY 2017,FY 2015,FY 2016,FY 2017,FY 2015,FY 2016,FY 2017,FY 2015,FY 2016,FY 2017,FY 2015,FY 2016,FY 2017,FY 2015,FY 2016,FY 2017,FY 2015,FY 2016,FY 2017,FY 2015,FY 2016,FY 2017,FY 2015,FY 2016,FY 2017,FY 2015,FY 2016,FY 2017
Glastonbury,50469,0,,1728,,7,40105,46072,41737,465108,461027,461027,203659,204413,204413,100040,86708,84674,,0,0,6413,6261,5786,6536191,6623032,6623032,226471,240799,240799,,,,,,1086151,,,1165733,7630184,7668312,9913359
Goshen,18576,0,411,,,,10588,11153,10548,276087,277151,277151,42696,42651,42651,,0,0,,0,0,,0,0,218188,211340,211340,2490,2648,2648,,,,,,43596,,,,568625,544943,588345
Granby,13381,0,50,,,,28113,25939,24034,259653,259634,259634,79327,80190,80190,42953,31390,37411,,0,0,2466,2228,2363,5543975,5561223,5561223,33230,35332,35332,,,,,,352440,,,345234,6003097,5995937,6697911
Greenwich,25772,0,,897965,,,98189,99288,93555,747652,747843,747843,319795,319966,319966,287,252,246,,0,0,,0,0,3647012,3037524,3037524,83725,89022,89022,,,,,,527695,,,,5820397,4293895,4815852
Griswold,66244,15894,17242,,,,103449,94046,87063,191998,192032,192032,91869,94617,94617,157311,138779,138571,,0,0,49672,52174,49261,10923542,10977088,10977088,29997,31895,31895,,,,,,350840,,,,11614082,11596525,11938609
Groton,1104583,804171,839789,40203,36123,37929,1390133,1412077,1339581,377392,380167,380167,211921,214072,214072,314677,236836,256614,36623,50020,52511,117502,103357,109304,25532449,25622519,25622519,1166988,1240819,1240819,,,,,,623548,,,,30292470,30100161,30716852
Guilford,20785,0,,19423,,,31929,27392,26144,360844,360832,360832,137609,137903,137903,32607,29220,19227,,0,0,9345,10379,8006,3083678,2945592,2945592,60989,64848,64848,,,,,,657644,,,,3757208,3576165,4220195
Haddam,69812,22196,21263,,,,23384,25437,23906,244273,246301,246301,73867,73641,73641,,0,0,,0,0,,0,0,1823044,1925038,1925038,3343,3554,3554,,,,,,245344,,,,2237722,2296167,2539048
Hamden,1015382,715955,714501,3026411,2870139,2855249,939097,951150,898464,668305,673661,673661,431930,433974,433974,597059,550418,537508,166160,167805,158057,281244,296521,274382,27166648,27127960,27127960,269631,286689,286689,,,620903,,,2155661,,,2826269,34561867,34074272,39563277
Hampton,30686,16831,21038,,,,14750,14446,13999,188095,188237,188237,28035,28694,28694,16608,14153,15606,,0,0,1435,1477,1515,1339928,1339825,1339825,,,,,,,,,54801,,,,1619537,1603662,1663715
Hartford,14816241,13887253,13666641,25279198,23443507,23849510,6652860,6631346,6279594,1202455,1201712,1201712,1976067,1934557,1934557,1531905,1174599,1147049,84973,63733,59995,2172646,1792609,1862072,201084900,201772044,201772044,1334719,1419161,1419161,,,12422113,,,1498643,,,14592642,256135964,253320522,281705733
Hartland,104841,86156,88476,,,,13886,12851,12223,143026,142967,142967,19057,19109,19109,20714,17613,19227,,0,0,1853,1759,1782,1359587,1358519,1358519,898,955,955,,,,,,40254,,,,1663862,1639930,1683512
Harwinton,7749,0,,,,,17719,19927,18677,227680,227824,227824,49911,50006,50006,,0,0,,0,0,,0,0,2774080,2760315,2760315,20226,21506,21506,,,,,,164081,,,,3097365,3079578,3242409
Hebron,15564,0,,,,,30564,30744,28512,241561,241222,241222,69933,70831,70831,37934,30739,33309,,0,0,,0,0,7015394,6991218,6991218,2084,2216,2216,,,,,,300369,,,299820,7413035,7366970,7967497
Kent,61484,29220,35564,,,,10105,9953,9101,281659,282751,282751,41921,41879,41879,1933,2696,2914,,0,0,,0,0,170438,167052,167052,,,,,,,,,38590,,,,567540,533551,577851
Killingly,265435,169887,180836,,,,158610,151533,145825,362264,362463,362463,143681,141039,141039,204209,227595,213888,28983,31730,28765,108082,113060,101109,15856600,15870348,15870348,664666,706717,706717,,,46615,,,505562,,,,17792530,17774372,18303167
Killingworth,103880,60358,62657,,,,18280,16778,15229,252854,253148,253148,53343,53448,53448,,0,0,,0,0,,0,0,2245206,2244748,2244748,4842,5148,5148,,,,,,122744,,,,2678405,2633628,2757122
Lebanon,33143,0,3458,,,,36533,35167,33161,317096,318154,318154,72023,71696,71696,91487,73991,71523,,0,0,8223,8186,7501,5509273,5517804,5517804,28617,30427,30427,,,,,,214717,,,,6096395,6055425,6268441
Ledyard,693548,944979,594078,,,,949184,936306,880962,296103,296177,296177,111385,112383,112383,153302,134528,130526,,0,0,22242,23306,21383,12124930,12216495,12216495,396030,421085,421085,,,3012,,,442811,,,,14746724,15085259,15118912
Lisbon,7577,0,131,,,,29329,24388,23718,176428,179879,179879,28353,28884,28884,53861,47150,42946,,0,0,11474,10774,9358,3921291,3911991,3911991,3464,3683,3683,,,,,,65371,,,,4231777,4206750,4265962
Litchfield,79188,28313,24641,,,,21685,19724,18317,382385,383844,383844,81931,81971,81971,27197,21923,19893,139,84,74,1435,1372,1209,1502746,1524618,1524618,3228,3432,3432,,,13907,,,244464,,,,2099933,2065281,2316370
Lyme,16461,0,,195,,,9113,8874,8364,180143,180114,180114,25763,25766,25766,,0,0,,0,0,,0,0,145556,139702,139702,,,,,,,,,31470,,,,377231,354456,385416
Madison,540719,456004,371803,,,,20366,19844,19516,313685,313633,313633,110451,109978,109978,19591,13102,10676,4534,2705,2033,7526,7366,6503,1585276,1574259,1574259,6391,6795,6795,,,,,,536777,,,,2608539,2503685,2951973
Manchester,844806,566228,559667,866237,826527,817246,598186,605863,572303,646353,644881,644881,422712,428332,428332,370143,340211,337990,143737,152438,146098,461622,526602,495422,34220411,34861662,34861662,1008637,1072449,1072449,,,,,,1971540,,,2816162,39582844,40025194,44723753
Mansfield,7656351,7192804,7187599,,,,207662,242157,205528,415303,416521,416521,184935,195109,195109,119987,111831,112398,,0,0,,0,0,10181241,10186509,10186509,6434,6841,6841,,,2630447,,,756128,,,,18771913,18351772,21697081
Marlborough,16534,0,,,,,18229,20104,18590,212383,212279,212279,50347,51348,51348,18138,15896,17506,,0,0,,0,0,3201941,3221395,3221395,6878,7313,7313,,,,,,188665,,,,3524450,3528335,3717095
Meriden,432065,194200,193862,1256048,1198941,1185011,907031,918672,867785,669183,666851,666851,509499,525697,525697,508196,451512,453573,187334,179901,174348,943554,889102,842279,59617374,60809702,60809702,840468,893641,893641,,,259564,,,1893412,,,1245477,65870752,66728219,70011201
Middlebury,20089,0,,,,,18094,16877,15762,222906,222806,222806,55344,55554,55554,,0,0,,0,0,,0,0,738899,806344,806344,79250,84264,84264,,,,,,222109,,,,1134582,1185845,1406838
Middlefield,10411,0,33,,,,21025,19111,17381,197344,197382,197382,31698,31880,31880,,0,0,,0,0,,0,0,2142785,2141544,2141544,233857,248652,248652,,,,,,131529,,,71730,2637120,2638570,2840131
Middletown,2573487,3252694,2242261,4087232,6809015,3856075,1253270,1269355,1199043,597667,592846,592846,313567,317269,317269,536925,489130,494875,126302,101255,98766,1201234,1318229,1263922,19652896,19858991,19858991,1868907,1987145,1987145,,,727324,,,1388602,,,1593535,32211487,35995928,35620653
Milford,556477,202342,196625,448475,429614,423111,399010,404131,381746,585695,586204,586204,351019,351815,351815,201354,77503,75685,64353,20783,19504,74432,37299,33866,11411592,11377600,11377600,1264846,1344868,1344868,,,,,,2707412,,,,15357253,14832158,17498435
Monroe,11952,0,46,,,,35497,34506,33408,351766,352168,352168,134631,134510,134510,53016,48853,46005,5795,4532,4099,13634,13416,12100,6677020,6510618,6510618,168449,179106,179106,,,,,,581867,,,,7451760,7277709,7853927
Montville,1979859,2192340,1799468,,,,1068665,1019799,954946,327476,327479,327479,145652,147104,147104,217881,249907,240119,13433,13287,12314,31192,34067,31100,12787949,12857281,12857281,497189,528644,528644,,,26217,,,578318,,,,17069296,17369908,17502990
Morris,17550,5794,826,,,,11262,11694,11083,177379,177717,177717,21705,21686,21686,,0,0,,0,0,,0,0,657975,657773,657773,3318,3528,3528,,,,,,40463,,,,889189,878191,913075
Naugatuck,91305,0,3022,,,,218529,245012,230955,424180,423171,423171,248445,256881,256881,370594,345422,339828,55778,71756,68117,205952,209764,195274,31042620,30799313,30799313,321327,341656,341656,,,,,,1251980,,,2379896,32978729,32692976,36290093
New Britain,3710093,3718207,3302143,2692730,2866022,2540440,2298649,2328150,2199189,770020,767195,767195,991377,1003987,1003987,1224102,1209804,1181428,191954,175634,165402,619530,600147,566690,84989724,86675859,86675859,1301538,1383881,1383881,,,2085537,,,3131893,,,5108889,98789716,100728886,110112533
New Canaan,47151,0,7388,,,,9293,9510,8977,330869,331097,331097,115715,116074,116074,287,252,246,,0,0,25,29,54,1542884,1209062,1209062,188,200,200,,,,,,241985,,,,2046412,1666224,1915083
New Fairfield,20607,0,128,,,,26468,31812,29199,276563,276641,276641,80517,80317,80317,41857,48726,39712,,0,0,3917,4607,3764,4461430,4429810,4429810,1081,1149,1149,,,,,,414970,,,,4912440,4873062,5275690
New Hartford,19654,0,,,,,21796,20083,19119,269858,270291,270291,63013,63091,63091,24814,35021,35230,,0,0,2112,2695,2562,3186353,3180203,3180203,130893,139174,139174,,,,,,202014,,,,3718493,3710559,3911684
New Haven,6879419,6993359,6060707,43465332,41901803,41007110,6537304,6224317,5809483,1251332,1248795,1248795,1648668,1603034,1603034,2269357,2035836,1988085,204871,255870,241085,2933644,2805827,2662108,151897331,155322630,155322630,1287658,1369123,1369123,,,15246372,,,114863,,,4278601,218374916,219760594,236951996
Newington,749383,571476,564544,1633915,1893314,1541508,254786,267867,248823,415388,416252,416252,209032,209841,209841,229869,279576,282408,4978,6312,6153,33945,38450,36648,13062892,13224900,13224900,863254,917869,917869,,,176884,,,937100,,,668057,17457442,17825857,19230987
New London,414949,337618,297982,5032102,4998983,4747507,1807956,1836497,1742211,390188,388445,388445,308565,313264,313264,295048,245460,239808,50527,43914,41351,1001019,1148594,1064306,25330623,26057581,26057581,31195,33169,33169,,,1356780,,,917228,,,678319,34662173,35403525,37877950
New Milford,32756,0,196,221957,82855,90021,84077,82307,76918,558293,559550,559550,192049,192641,192641,185092,164559,182292,6883,7550,8102,28572,35011,35734,12056908,12168329,12168329,634087,674203,674203,,,,,,814597,,,,14000675,13967005,14802582
Newtown,946060,717794,738994,,,,952649,969137,913492,469220,469996,469996,207562,207668,207668,79452,84295,82318,28718,15301,20255,4048,4620,4281,4398056,4757982,4757982,221366,235371,235371,,,,,,824747,,,335300,7307131,7462164,8590405
Norfolk,90248,63282,73196,47767,42230,45066,14208,14285,13352,251076,241630,241630,31899,31884,31884,1694,1836,2239,14097,0,0,229,250,256,381819,381255,381255,6778,7207,7207,,,,,,28993,,,,839815,783859,825078
North Branford,5680,0,,2434,,,45449,44596,42146,281428,281043,281043,88887,88766,88766,149914,146028,142602,,0,0,39535,47427,43966,8204193,8206425,8206425,283160,301074,301074,,,,,,421072,,,,9100679,9115359,9527095
North Canaan,25017,8147,6881,,,,25740,21910,21982,188363,188202,188202,29971,29454,29454,35988,32320,30439,,0,0,,0,0,2091935,2091575,2091575,338315,359719,359719,,,4393,,,95081,,,,2735329,2731326,2827726
