,PILOT: StateOwned Real Property,PILOT: StateOwned Real Property,PILOT: StateOwned Real Property,PILOT: Colleges & Hospitals,PILOT: Colleges & Hospitals,PILOT: Colleges & Hospitals,Mashantucket Pequot And Mohegan Fund Grant,Mashantucket Pequot And Mohegan Fund Grant,Mashantucket Pequot And Mohegan Fund Grant,Town Aid Road Fund Grant,Town Aid Road Fund Grant,Town Aid Road Fund Grant,Local Capital Improvement Program,Local Capital Improvement Program,Local Capital Improvement Program,Public School Pupil Transportation,Public School Pupil Transportation,Public School Pupil Transportation,NonPublic School Pupil Transportation,NonPublic School Pupil Transportation,NonPublic School Pupil Transportation,Adult Education,Adult Education,Adult Education,Education cost sharing grant,Education cost sharing grant,Education cost sharing grant,Grants for municipal projects,Grants for municipal projects,Grants for municipal projects,Municipal revenue sharing,Municipal revenue sharing,Municipal revenue sharing: Select payments in lieu of taxes,Municipal revenue sharing: Additional sales tax funds,Municipal revenue sharing: Additional sales tax funds,Municipal revenue sharing: Additional sales tax funds,Motor Vehicle Property Tax Grants,Motor Vehicle Property Tax Grants,Motor Vehicle Property Tax Grants,Statutory Formula Grants,Statutory Formula Grants,Statutory Formula Grants
Grantee,FY 2015,FY 2016,FY 2017,FY 2015,FY 2016,FY 2017,FY 2015,FY 2016,FY 2017,FY 2015,FY 2016,FY 2017,FY 2015,FY 2016,FY 2017,FY 2015,FY 2016,FY 2017,FY 2015,FY 2016,FY 2017,FY 2015,FY 2016,FY 2017,FY 2015,FY 2016,FY 2017,FY 2015,FY 2016,FY 2017,FY 2015,FY 2016,FY 2017,FY 2015,FY 2016,FY 2017,FY 2015,FY 2016,FY 2017,FY 2015,FY 2016,FY 2017
North Haven,119369,0,2642,647579,580506,583149,158406,160439,151552,360171,358358,358358,154749,154546,154546,78435,83614,74418,,0,0,4469,5838,5016,3437090,3675551,3675551,1359707,1445730,1445730,,,,,,702295,,,,6319975,6464582,7153257
North Stonington,23626,0,221,,,,893855,893244,844077,239744,240033,240033,47925,48062,48062,59030,50218,52340,,0,0,7477,7770,7584,2906761,2899697,2899697,,,,,,,,,155222,,,,4178419,4139024,4247236
Norwalk,404528,158245,32233,1571461,2596542,1482586,855995,866981,818957,887652,891306,891306,631512,638740,638740,67282,59120,64193,,14071,14736,66163,69634,72018,11716280,11551095,11551095,378941,402915,402915,,,,,,4896511,,,,16579815,17248649,20865290
Norwich,804821,910659,617436,810449,1087553,764613,2002692,2023985,1917276,501077,499260,499260,320837,322978,322978,590316,505813,493949,100784,73718,69390,330944,332980,307869,35928205,36576102,36576102,175997,187132,187132,,,259862,,,1362971,,,2019740,41566122,42520179,45398578
Old Lyme,30352,0,147,35059,,2022,15319,15371,14525,229908,229901,229901,49195,49358,49358,,0,0,,0,0,,0,0,605586,594612,594612,1776,1888,1888,,,,,,115080,,,,967195,891131,1007534
Old Saybrook,60807,0,,,,,18009,15765,14639,247093,247044,247044,67011,67014,67014,5896,7186,4882,384,675,319,5234,5573,4485,681702,646664,646664,43937,46717,46717,,,,,,146146,,,,1130073,1036637,1177909
Orange,11829,0,196,248668,204705,152963,49247,46926,43603,275147,275103,275103,100913,98746,98746,23808,21374,10427,47,0,0,,0,0,1193595,1348918,1348918,98717,104962,104962,,,,,,409337,,,,2001971,2100734,2444255
Oxford,252505,160573,165026,,,,34509,27040,25454,273845,274226,274226,95377,95165,95165,38743,21291,29678,,0,0,1301,1252,1156,4683927,4676513,4676513,79296,84313,84313,,,,,,246859,,,,5459503,5340373,5598389
Plainfield,57395,0,1270,41283,36348,34680,182340,168094,122847,290104,289613,289613,129537,125953,125953,253019,282399,265910,,0,0,109629,114627,102684,15573340,15642047,15642047,136187,144803,144803,,,16116,,,446742,,,,16772833,16803884,17192665
Plainville,17664,0,391,,,,86023,80726,72680,307546,307431,307431,124459,124497,124497,161034,148070,145921,,0,0,116792,132138,123393,10463805,10443325,10443325,509690,541936,541936,,,,,,522783,,,,11787013,11778123,12282357
Plymouth,12212,0,462,,,,71534,72640,69966,262226,261739,261739,94231,96614,96614,176563,139196,142356,,0,0,11431,11326,10924,9911661,9914956,9914956,143364,152434,152434,,,,,,367902,,,266550,10683222,10648905,11283903
Pomfret,48075,27007,27434,,,,22648,23025,19519,242643,243039,243039,46820,46950,46950,39263,39621,42642,,0,0,5599,5711,5733,3127251,3136355,3136355,26165,27820,27820,,,,,,78101,,,,3558464,3549528,3627593
Portland,27556,0,201,,,,33088,29628,27787,240103,239867,239867,63149,63429,63429,52337,43427,42409,,0,0,11575,11038,10196,4397414,4420530,4420530,85435,90840,90840,,,,,,277409,,,,4910656,4898759,5172668
Preston,16402,0,722,,,,1183656,1192160,1128043,199909,199882,199882,44286,44551,44551,86435,75821,74987,,0,0,20227,21378,19783,3029202,3071731,3071731,,,,,,,,,84835,,,,4580117,4605523,4624534
Prospect,2055,0,,,,,37247,28238,27025,240207,240328,240328,66103,64798,64798,,0,0,,0,0,,0,0,5405931,5379817,5379817,66721,70942,70942,,,,,,283717,,,,5818264,5784123,6066627
Putnam,33309,0,,232405,219527,214334,119285,113730,103824,238506,238164,238164,84782,82002,82002,152895,148633,139122,2038,4,0,65910,71556,63779,8456611,8497790,8497790,161578,171800,171800,,,,,,109975,,,,9547318,9543206,9620791
Redding,179434,93294,95600,,,,11694,11645,10940,268879,269265,269265,69362,69407,69407,287,252,246,,0,0,493,537,527,695149,686781,686781,1250,1329,1329,,,,,,273185,,,,1226548,1132511,1407281
Ridgefield,148889,0,2103,,,,16612,15718,14180,378878,379236,379236,153327,153548,153548,600,1990,1944,,0,0,725,540,557,2124506,1990475,1990475,528547,561986,561986,,,,,,738233,,,,3352085,3103493,3842262
Rocky Hill,933775,845180,780934,,,,281888,285506,269691,341316,342814,342814,113558,113500,113500,68151,54211,47638,,0,0,12319,11349,9627,3588811,3944732,3944732,208037,221199,221199,,,,,,584244,,,,5547856,5818489,6314378
Roxbury,4281,0,65,,,,8370,8538,8077,329802,331615,331615,35916,35839,35839,,0,0,,0,0,,0,0,158114,133039,133039,566,602,602,,,,,,23029,,,,537048,509633,532266
Salem,71139,48212,47708,,,,21968,19852,18266,193620,193672,193672,33666,34396,34396,36006,40480,44237,,0,0,3218,4142,4243,3143786,3113963,3113963,4419,4699,4699,,,,,,123244,,,,3507822,3459416,3584428
Salisbury,8251,0,109,,,,9433,9655,9090,292128,284662,284662,43871,43808,43808,1459,1204,1175,,0,0,,0,0,187266,148652,148652,78,83,83,,,,,,29897,,,,542486,488064,517476
Scotland,25202,19534,17012,,,,17604,17093,15755,153925,153812,153812,21198,21296,21296,22974,18907,18766,,0,0,1752,1833,1720,1450663,1450575,1450575,7224,7681,7681,,,,,,52109,,,38005,1700541,1690730,1776731
Seymour,22331,0,,,,,78393,73475,68021,297032,296883,296883,115583,116598,116598,121533,116307,117811,,0,0,70700,75761,72376,10031763,10128311,10128311,264455,281186,281186,,,,,,494298,,,249143,11001789,11088521,11824627
Sharon,18730,0,,,,,8891,9736,9135,355320,357425,357425,49456,48779,48779,287,252,246,,0,0,,0,0,145798,139261,139261,,,,,,,,,28022,,,,578482,555453,582868
Shelton,15668,0,347,,,,80088,81312,75044,495552,501144,501144,267034,268166,268166,114941,90064,90345,16529,8071,7795,38223,37943,35728,5311560,5482804,5482804,549365,584121,584121,,,,,,1016326,,,,6888960,7053625,8061820
Sherman,14,0,,,,,10408,10481,9951,204907,205240,205240,26607,26023,26023,3673,2718,1922,,0,0,256,246,168,252202,213125,213125,,,,,,,,,56139,,,,498067,457834,512568
Simsbury,123399,0,2575,,,,33613,32798,28552,361234,362351,362351,154713,157504,157504,42224,33298,42915,8098,7776,9884,10428,11162,12280,5664940,5944949,5944949,73028,77648,77648,,,21671,,,775368,,,1302933,6471676,6627485,8738629
Somers,1499575,1342227,1375397,,,,1700850,1711137,1613720,269120,268053,268053,87482,88675,88675,82121,65348,67334,,0,0,10717,10928,10600,6034556,6068039,6068039,77426,82324,82324,,,,,,203969,,,,9761848,9636731,9778112
Southbury,298743,178782,172813,,,,42711,42073,37794,379296,377898,377898,132008,130193,130193,,0,0,,0,0,,0,0,2631384,3033041,3033041,19733,20981,20981,,,,,,582601,,,,3503876,3782968,4355322
Southington,26815,0,,141493,,,151250,136778,126441,523137,523673,523673,280242,283158,283158,163061,152300,153955,47117,39169,38211,10896,11098,14188,20302348,20568713,20568713,771956,820795,820795,,,,,,1280877,,,,22418314,22535683,23810010
South Windsor,13221,0,79,,,,60215,59843,54493,380687,380491,380491,164723,163674,163674,125851,110875,104867,,0,0,12720,13055,11763,12487545,13035627,13035627,1258566,1338190,1338190,,,,,,804258,,,830111,14503528,15101755,16723553
Sprague,12257,476,369,,,,31144,28508,26313,151371,151257,151257,24806,26251,26251,49818,44753,48885,,0,0,15613,15023,15319,2604493,2661363,2661363,363529,386528,386528,,,,,,128769,,,,3253031,3314159,3445054
Stafford,55003,3176,4439,228369,211019,215454,98483,101965,93402,392105,393050,393050,109168,111207,111207,207415,200772,199056,27017,14765,14106,25512,26691,25040,9938817,9980702,9980702,411860,437917,437917,,,43057,,,349930,,,128655,11493749,11481264,11996014
Stamford,1510039,1084271,1073390,1963214,1827676,1852182,926415,938305,886330,1204261,1213719,1213719,821608,842577,842577,95896,89243,103104,70551,60583,67489,297113,315487,295527,10620437,10885284,10885284,391381,416142,416142,,,552292,,,3414955,,,,17900914,17673286,21602991
Sterling,5952,0,132,,,,35406,36354,33497,192124,191937,191937,40587,41624,41624,70421,61429,60903,,0,0,11103,11463,10744,3234152,3248157,3248157,22946,24398,24398,,,,,,110893,,,,3612691,3615362,3722285
Stonington,21561,0,,,,,40283,35302,33143,298655,298367,298367,109956,109735,109735,22846,22532,23308,2592,2783,2777,15465,8229,7710,1961943,1972863,1972863,94362,100332,100332,,,,,,292053,,,,2567662,2550142,2840287
Stratford,400622,124993,123243,,,,168339,170682,161178,597569,597168,597168,391112,392331,392331,291754,273058,252949,102887,102611,91607,111680,117764,104120,21463543,21818466,21818466,3298976,3507689,3507689,,,,,,1627064,,,1325915,26826482,27104762,30001730
Suffield,2657588,2441296,2445787,,,,2976971,3003392,2837591,291302,290413,290413,91360,92624,92624,83028,81720,80737,,0,0,7079,8213,7689,6232613,6344484,6344484,169913,180663,180663,,,53767,,,463170,,,,12509853,12442805,12796925
Thomaston,40663,4638,5773,,,,41317,41237,40227,223708,223376,223376,53187,52830,52830,51440,58809,57429,,0,0,15562,11427,10495,5740956,5740364,5740364,371822,395346,395346,,,,,,228716,,,100617,6538655,6528026,6855172
Thompson,11540,0,41,2482,,,70913,68444,63716,253138,253163,253163,89902,88496,88496,94874,90824,82781,4593,2392,2093,50677,52307,45403,7678985,7657722,7657722,72167,76733,76733,,,,,,164939,,,,8329271,8290081,8435087
Tolland,52883,0,,,,,43715,37585,34934,338861,339123,339123,115715,116116,116116,128122,109397,108467,,0,0,9274,9141,8555,10888029,10907112,10907112,80003,85064,85064,,,,,,437559,,,,11656602,11603539,12036931
Torrington,249421,104211,97248,254799,262832,240389,257271,293101,288347,465796,463744,463744,258790,259082,259082,409244,378776,367120,34013,52928,49509,128573,131024,120366,24473175,24779195,24779195,569326,605345,605345,,,,,,1133394,,,1024732,27100408,27330238,29428471
Trumbull,96878,0,,18591,,3286,53557,53005,50070,464109,464072,464072,246276,245884,245884,60949,54332,48413,18415,18084,15541,15036,16587,14331,3362433,3353943,3353943,178045,189309,189309,,,,,,1072878,,,48361,4514290,4395216,5506088
Union,32010,23968,25713,,,,22471,22760,21499,124709,124667,124667,14950,14971,14971,10543,8231,8375,,0,0,1484,1795,1723,241791,243820,243820,,,,,,,,,24878,,,,447959,440212,465646
Vernon,239453,113593,114386,339449,320005,320251,177683,174419,159327,402328,402246,402246,208454,209533,209533,129963,119168,115420,,0,0,233691,240482,220798,19624822,19648688,19648688,142578,151598,151598,,,,,,922743,,,839214,21498421,21379733,23104204
Voluntown,87923,69642,72039,60000,60000,56607,92538,93726,88534,172352,172454,172454,24841,24337,24337,42559,37847,36626,,0,0,7562,8109,7446,2550747,2550020,2550020,1883,2002,2002,,,,,,48818,,,,3040405,3018137,3058883
Wallingford,55743,0,,354183,155571,153782,172355,163844,156489,542236,541354,541354,288056,287092,287092,309530,271684,258592,23406,22467,20620,273987,271527,245656,21803104,21863617,21863617,1832519,1948455,1948455,,,61586,,,1324296,,,,25655119,25525611,26861539
Warren,14319,0,9597,,,,8782,8784,8224,181621,181741,181741,21782,21740,21740,,0,0,,0,0,,0,0,99777,88775,88775,271,288,288,,,,,,15842,,,,326552,301328,326207
Washington,34664,0,6165,,,,9438,9302,8764,329042,330184,330184,52666,51918,51918,,0,0,,0,0,,0,0,240147,221936,221936,149,158,158,,,,,,36701,,,,666106,613499,655826
Waterbury,4498583,3918729,3927492,5773418,5505887,5446897,3054884,3094091,2922703,1078651,1075110,1075110,1305413,1302143,1302143,1131303,1040059,1022604,348811,281392,266745,1969070,1950912,1814216,131125709,134524338,134524338,2366443,2516158,2516158,,,3284145,,,5595448,,,11801968,152652284,155208819,175499967
Waterford,286127,124651,123367,65721,156519,62005,51184,46103,42712,321871,321363,321363,118570,118101,118101,33193,27168,27995,,0,0,12338,12578,11977,1446476,1483954,1483954,32217,34255,34255,,,,,,372956,,,,2367698,2324692,2598685
Watertown,35613,0,16042,,,,85337,79387,75381,353011,352526,352526,156068,154296,154296,150185,135449,128233,33022,34005,31051,4705,5053,4556,11840373,11949758,11949758,604064,642281,642281,,,,,,652100,,,,13262378,13352755,14006224
Westbrook,30313,0,,18861,56101,,18947,18216,16228,216968,216813,216813,42814,42361,42361,5592,5517,4149,,0,0,1744,1836,1486,397619,427001,427001,251494,267405,267405,,,,,,116023,,,,984352,1035250,1091467
West Hartford,301092,0,,1084554,978740,968971,220032,210497,197988,687452,687363,687363,436682,432145,432145,270623,165325,119418,99928,73825,50954,133942,95486,70687,18364058,19867867,19867867,757839,805784,805784,,,211483,,,2075223,,,2506040,22356202,23317032,27993924
West Haven,59579,0,,5476449,5199073,5047799,985721,1017690,972453,621676,617903,617903,579476,580769,580769,520809,489934,481821,138276,107239,101673,211772,215528,200546,45135396,45994046,45994046,138739,147516,147516,,,339563,,,1614877,,,2255190,53867892,54369699,58354155
Weston,6604,0,,,,,9369,9496,9083,251516,251636,251636,65206,65240,65240,287,252,246,,0,0,381,81,70,1071022,845528,845528,426,453,453,,,,,,304282,,,,1404811,1172686,1476538
Westport,828016,344544,368392,184153,169091,173738,27989,28452,26690,384848,386468,386468,145997,146394,146394,287,252,246,,0,0,1230,221,214,1990079,1982936,1982936,,,,,,,,,377722,,,,3562600,3058358,3462800
Wethersfield,247201,123563,108083,9178,18834,8659,219181,221994,209698,403048,401268,401268,182902,183003,183003,82254,86709,85662,27298,20191,19239,30210,30340,28336,8411254,9020510,9020510,20489,21785,21785,,,,,,1353493,,,933484,9633016,10128197,12373219
Willington,46133,21183,17270,,,,28762,34773,33336,257809,258353,258353,59949,58389,58389,52563,45507,39464,,0,0,,0,0,3729428,3718080,3718080,18827,20018,20018,,,,,,174995,,,,4193471,4156304,4319906
Wilton,96400,0,333,,,,11265,11944,10891,315846,315938,315938,112762,112895,112895,287,252,246,,0,0,1099,196,199,1619832,1461523,1461523,288788,307058,307058,,,,,,547338,,,,2446278,2209807,2756421
Winchester,80035,30792,31435,43134,40801,40695,74635,81005,78651,301370,301361,301361,89011,89048,89048,89001,82120,78948,26743,14209,13156,11259,11473,10465,8191876,8187413,8187413,287984,306204,306204,,,,,,323087,,,,9195048,9144425,9460462
Windham,3047008,3101626,2817089,668312,730378,630515,892577,906667,860118,368387,369052,369052,263899,266853,266853,283675,291366,296620,37827,42405,39948,270901,288258,266779,26495170,26815061,26815061,427527,454575,454575,,,1248096,,,739671,,,630872,32755282,33266241,35435249
Windsor,55006,0,,,,,108632,76355,72031,404234,403865,403865,180920,181757,181757,233482,189783,185332,29591,71855,67749,49848,57604,53382,12598070,12374959,12374959,1242398,1321000,1321000,,,9660,,,854935,,,,14902181,14677177,15524670
Windsor Locks,94693,0,25481,,,,445189,450903,425927,263475,263525,263525,79835,77571,77571,80180,78464,55776,,0,0,24086,24994,17450,5262010,5269809,5269809,1794444,1907971,1907971,,,32533,,,368853,,,,8043912,8073237,8444896
Wolcott,2136,0,,,,,71260,63773,61523,302219,302040,302040,113229,114479,114479,130857,132238,119659,,0,0,4019,4498,3890,13682019,13621228,13621228,220938,234916,234916,,,,,,490659,,,,14526676,14473172,14948394
Woodbridge,17555,0,,98,,,13164,11740,11217,241007,240893,240893,64474,64481,64481,1840,1643,2805,343,338,557,,0,0,733597,690472,690472,28140,29920,29920,,,,,,274418,,,276815,1100218,1039487,1591578
Woodbury,571,0,196,,,,19476,21861,19737,295851,296185,296185,78210,77611,77611,,0,0,,0,0,,0,0,942926,1051361,1051361,53522,56908,56908,,,,,,288147,,,,1390556,1503926,1790145
Woodstock,9499,0,1593,,,,33642,28928,26251,380393,382200,382200,83243,83450,83450,67546,63075,63054,,0,0,8435,9025,8520,5437489,5443228,5443228,64675,68767,68767,,,,,,140648,,,,6084922,6078673,6217711
