"Municipality","Planning Region","Municipality Type","Municipal Capacity ($ per capita)","Municipal Capacity","Equalized Net Grand List ($000s per capita)","Equalized Net Grand List","Municipal Cost ($ per capita)","Municipal Cost","Municipal Gap($ per capita)","Municipal Gap","State Nonschool Grants ($ per capita)","State Nonschool Grants"
"Andover","Capitol Region","Below-Average-Property Rural",1123,3529589,124000,389732000,1139,3579877,-16,-50288,60,188580
"Ansonia","Naugatuck Valley","Urban Periphery",714,13703802,79000,1516247000,1448,27791464,-734,-14087662,43,825299
"Ashford","Northeast CT","Below-Average-Property Rural",973,4192657,108000,465372000,1264,5446576,-291,-1253919,61,262849
"Avon","Capitol Region","Suburban",1848,33003432,205000,3661095000,1217,21734403,631,11269029,38,678642
"Barkhamsted","Northwest Hills","Below-Average-Property Rural",1305,4936815,144000,544752000,1210,4577430,95,359385,60,226980
"Beacon Falls","Naugatuck Valley","Below-Average-Property Rural",1087,6488303,120000,716280000,1151,6870319,-65,-387985,50,298450
"Berlin","Capitol Region","Suburban",1493,29403142,165000,3249510000,1286,25326484,207,4076658,59,1161946
"Bethany","South Central","Suburban",1434,7905642,159000,876567000,1251,6896763,183,1008879,59,325267
"Bethel","Western CT","Suburban",1374,25409382,152000,2810936000,1289,23837477,85,1571905,40,739720
"Bethlehem","Naugatuck Valley","Suburban",1447,5203412,160000,575360000,1182,4250472,265,952940,55,197780
"Bloomfield","Capitol Region","Urban Periphery",1329,27119574,147000,2999682000,1488,30364128,-159,-3244554,118,2407908
"Bolton","Capitol Region","Suburban",1225,6132350,136000,680816000,1189,5952134,36,180216,55,275330
"Bozrah","Southeastern CT","Below-Average-Property Rural",1275,3318825,141000,367023000,1231,3204293,44,114532,106,275918
"Branford","South Central","Urban Periphery",1625,45660875,180000,5057820000,1305,36669195,319,8963581,42,1180158
"Bridgeport","Greater Bridgeport","Urban Core",620,88915440,69000,9895428000,1788,256420656,-1168,-167505216,156,22372272
"Bridgewater","Western CT","Suburban",3045,5450550,337000,603230000,1246,2230340,1800,3222000,83,148570
"Bristol","Naugatuck Valley","Urban Periphery",931,56300363,103000,6228719000,1359,82182807,-428,-25882444,78,4716894
"Brookfield","Western CT","Suburban",1839,30047421,204000,3333156000,1181,19296359,658,10751062,31,506509
"Brooklyn","Northeast CT","Below-Average-Property Rural",829,6741428,92000,748144000,1156,9400592,-327,-2659164,75,609900
"Burlington","Northwest Hills","Suburban",1243,11424413,138000,1268358000,1105,10156055,138,1268358,36,330876
"Canaan","Northwest Hills","Above-Average-Property Rural",2116,2503228,234000,276822000,1311,1550913,805,952315,219,259077
"Canterbury","Northeast CT","Below-Average-Property Rural",979,5001711,108000,551772000,1216,6212544,-237,-1210833,51,260559
"Canton","Capitol Region","Suburban",1406,14255434,156000,1581684000,1179,11953881,227,2301553,31,314309
"Chaplin","Northeast CT","Below-Average-Property Rural",868,2153508,96000,238176000,1283,3183123,-416,-1032096,124,307644
"Cheshire","Naugatuck Valley","Suburban",1302,38018400,144000,4204800000,1190,34748000,112,3270400,202,5898400
"Chester","Lower CT River Valley","Suburban",1445,5756880,160000,637440000,1252,4987968,193,768912,58,231072
"Clinton","Lower CT River Valley","Suburban",1548,20574468,171000,2272761000,1213,16121983,334,4439194,45,598095
"Colchester","Southeastern CT","Below-Average-Property Rural",1002,15960858,111000,1768119000,1160,18477640,-158,-2516782,32,509728
"Colebrook","Northwest Hills","Above-Average-Property Rural",1518,2117610,168000,234360000,1225,1708875,292,407340,103,143685
"Columbia","Capitol Region","Suburban",1212,6604188,134000,730166000,1150,6266350,62,337838,41,223409
"Cornwall","Northwest Hills","Above-Average-Property Rural",3471,5098899,384000,564096000,1312,1927328,2159,3171571,138,202722
"Coventry","Capitol Region","Below-Average-Property Rural",1013,12563226,112000,1389024000,1133,14051466,-121,-1500642,34,421668
"Cromwell","Lower CT River Valley","Suburban",1225,17089975,136000,1897336000,1244,17355044,-19,-265069,32,446432
"Danbury","Western CT","Urban Periphery",1130,90514130,125000,10012625000,1328,106374128,-198,-15859998,99,7929999
"Darien","Western CT","Wealthy",5142,105822360,569000,11710020000,1359,27968220,3782,77833560,26,535080
"Deep River","Lower CT River Valley","Above-Average-Property Rural",1406,6540712,156000,725712000,1110,5163720,296,1376992,62,288424
"Derby","Naugatuck Valley","Urban Periphery",854,10969630,95000,1220275000,1486,19087670,-632,-8118040,147,1888215
"Durham","Lower CT River Valley","Suburban",1358,9970436,150000,1101300000,1127,8274434,231,1696002,54,396468
"East Granby","Capitol Region","Suburban",1529,7729095,169000,854295000,1263,6384465,266,1344630,297,1501335
"East Haddam","Lower CT River Valley","Below-Average-Property Rural",1372,12442668,152000,1378488000,1233,11182077,139,1260591,42,380898
"East Hampton","Lower CT River Valley","Below-Average-Property Rural",1169,15110494,129000,1667454000,1136,14683936,34,439484,39,504114
"East Hartford","Capitol Region","Urban Periphery",771,39391161,85000,4342735000,1511,77198501,-740,-37807340,118,6028738
"East Haven","South Central","Urban Periphery",924,26935524,102000,2973402000,1267,36934317,-343,-9998793,45,1311795
"East Lyme","Southeastern CT","Above-Average-Property Rural",1519,28982520,168000,3205440000,1199,22876920,321,6124680,84,1602720
"East Windsor","Capitol Region","Below-Average-Property Rural",1227,13526448,136000,1499264000,1340,14772160,-112,-1234688,60,661440
"Eastford","Northeast CT","Below-Average-Property Rural",1237,1981674,137000,219474000,1280,2050560,-43,-68886,114,182628
"Easton","Greater Bridgeport","Wealthy",2356,17556912,261000,1944972000,1224,9121248,1132,8435664,39,290628
"Ellington","Capitol Region","Suburban",1100,16933400,122000,1878068000,1173,18057162,-73,-1123762,39,600366
"Enfield","Capitol Region","Urban Periphery",973,43538831,108000,4832676000,1294,57902618,-321,-14363787,83,3714001
"Essex","Lower CT River Valley","Suburban",2252,15081644,249000,1667553000,1188,7956036,1063,7118911,48,321456
"Fairfield","Greater Bridgeport","Suburban",2265,133811670,251000,14828578000,1381,81586718,885,52284030,71,4194538
"Farmington","Capitol Region","Suburban",1899,47828214,210000,5289060000,1381,34781866,517,13021162,154,3878644
"Franklin","Southeastern CT","Above-Average-Property Rural",1358,2658964,150000,293700000,1263,2472954,95,186010,73,142934
"Glastonbury","Capitol Region","Suburban",1548,52896708,171000,5843241000,1231,42064501,317,10832207,26,888446
"Goshen","Northwest Hills","Above-Average-Property Rural",2491,7365887,276000,816132000,1163,3438991,1328,3926896,83,245431
"Granby","Capitol Region","Suburban",1189,13307288,132000,1477344000,1111,12434312,78,872976,33,369336
"Greenwich","Western CT","Wealthy",6575,401226225,728000,44424744000,1465,89398695,5110,311827530,33,2013759
"Griswold","Southeastern CT","Below-Average-Property Rural",848,10037776,94000,1112678000,1224,14488488,-376,-4450712,39,461643
"Groton","Southeastern CT","Urban Periphery",1372,55140680,152000,6108880000,1311,52689090,61,2451590,82,3295580
"Guilford","South Central","Suburban",1826,40668672,202000,4498944000,1186,26414592,641,14276352,28,623616
"Haddam","Lower CT River Valley","Suburban",1449,11978883,160000,1322720000,1158,9573186,291,2405697,49,405083
"Hamden","South Central","Urban Periphery",916,55461052,101000,6115247000,1252,75804844,-336,-20343792,84,5085948
"Hampton","Northeast CT","Below-Average-Property Rural",979,1808213,108000,199476000,1183,2185001,-204,-376788,109,201323
"Hartford","Capitol Region","Urban Core",568,70896056,63000,7863471000,1898,236902666,-1330,-166006610,418,52173506
"Hartland","Northwest Hills","Below-Average-Property Rural",1054,2274532,117000,252486000,1179,2544282,-126,-271908,104,224432
"Harwinton","Northwest Hills","Suburban",1337,7511266,148000,831464000,1193,6702274,144,808992,44,247192
"Hebron","Capitol Region","Suburban",1068,10274160,118000,1135160000,1138,10947560,-70,-673400,28,269360
