"Municipality","Planning Region","Municipality Type","Municipal Capacity ($ per capita)","Municipal Capacity","Equalized Net Grand List ($000s per capita)","Equalized Net Grand List","Municipal Cost ($ per capita)","Municipal Cost","Municipal Gap($ per capita)","Municipal Gap","State Nonschool Grants ($ per capita)","State Nonschool Grants"
"Kent","Northwest Hills","Above-Average-Property Rural",2628,7836696,291000,867762000,1294,3858708,1334,3977988,95,283290
"Killingly","Northeast CT","Below-Average-Property Rural",904,15691632,1e+05,1735800000,1273,22096734,-369,-6405102,87,1510146
"Killingworth","Lower CT River Valley","Suburban",1461,9495039,162000,1052838000,1111,7220389,350,2274650,57,370443
"Lebanon","Southeastern CT","Below-Average-Property Rural",1136,8256448,126000,915768000,1247,9063196,-111,-806748,49,356132
"Ledyard","Southeastern CT","Below-Average-Property Rural",1009,15151144,112000,1681792000,1258,18890128,-249,-3738984,114,1711824
"Lisbon","Southeastern CT","Below-Average-Property Rural",1189,5138858,132000,570504000,1253,5415466,-63,-272286,46,198812
"Litchfield","Northwest Hills","Above-Average-Property Rural",1687,14312508,187000,1586508000,1191,10104444,497,4216548,53,449652
"Lyme","Lower CT River Valley","Suburban",3331,7751237,369000,858663000,1184,2755168,2147,4996069,68,158236
"Madison","South Central","Suburban",2255,41137965,250000,4560750000,1111,20267973,1145,20888235,54,985122
"Manchester","Capitol Region","Urban Periphery",975,56449575,108000,6252876000,1350,78160950,-375,-21711375,73,4226481
"Mansfield","Capitol Region","Below-Average-Property Rural",484,12646920,54000,1411020000,1214,31721820,-730,-19074900,306,7995780
"Marlborough","Capitol Region","Suburban",1187,7519645,131000,829885000,1222,7741370,-35,-221725,35,221725
"Meriden","South Central","Urban Periphery",769,46607552,85000,5151680000,1376,83396608,-607,-36789056,73,4424384
"Middlebury","Naugatuck Valley","Suburban",1731,12911529,192000,1432128000,1374,10248666,357,2662863,42,313278
"Middlefield","Lower CT River Valley","Below-Average-Property Rural",1302,5752236,144000,636192000,1211,5350198,92,406456,96,424128
"Middletown","Lower CT River Valley","Urban Periphery",1003,47652530,111000,5273610000,1309,62190590,-306,-14538060,242,11497420
"Milford","South Central","Urban Periphery",1252,66020464,139000,7329748000,1414,74563048,-161,-8489852,72,3796704
"Monroe","Greater Bridgeport","Suburban",1539,29853522,170000,3297660000,1329,25779942,210,4073580,35,678930
"Montville","Southeastern CT","Below-Average-Property Rural",987,19251435,109000,2126045000,1286,25083430,-299,-5831995,178,3471890
"Morris","Northwest Hills","Above-Average-Property Rural",1973,4756903,219000,528009000,1131,2726841,842,2030062,68,163948
"Naugatuck","Naugatuck Valley","Urban Periphery",771,24500838,85000,2701130000,1277,40580506,-506,-16079668,41,1302898
"New Britain","Capitol Region","Urban Core",506,36965830,56000,4091080000,1562,114111910,-1056,-77146080,156,11396580
"New Canaan","Western CT","Wealthy",4991,98033222,553000,10862026000,1288,25298896,3703,72734326,19,373198
"New Fairfield","Western CT","Suburban",1575,21809025,174000,2409378000,1223,16934881,353,4887991,27,373869
"New Hartford","Northwest Hills","Suburban",1282,8847082,142000,979942000,1173,8094873,110,759110,57,393357
"New Haven","South Central","Urban Core",548,70808724,61000,7881993000,1649,213072237,-1101,-142263513,393,50780709
"New London","Southeastern CT","Urban Core",703,19367650,78000,2148900000,1599,44052450,-896,-24684800,316,8705800
"New Milford","Western CT","Above-Average-Property Rural",1438,40439436,159000,4471398000,1261,35461842,178,5005716,58,1631076
"Newington","Capitol Region","Urban Periphery",1227,37351107,136000,4139976000,1321,40212561,-94,-2861454,125,3805125
"Newtown","Western CT","Suburban",1586,43194710,176000,4793360000,1298,35351030,289,7870915,87,2369445
"Norfolk","Northwest Hills","Above-Average-Property Rural",2352,3702048,260000,409240000,1346,2118604,1006,1583444,225,354150
"North Branford","South Central","Suburban",1229,17643524,136000,1952416000,1163,16696028,67,961852,46,660376
"North Canaan","Northwest Hills","Below-Average-Property Rural",1315,4377635,146000,486034000,1312,4367648,2,6658,158,525982
"North Haven","South Central","Suburban",1599,38345619,177000,4244637000,1346,32278426,254,6091174,92,2206252
"North Stonington","Southeastern CT","Above-Average-Property Rural",1450,7644400,161000,848792000,1205,6352760,245,1291640,216,1138752
"Norwalk","Western CT","Urban Periphery",1850,157518250,205000,17454725000,1532,130442140,318,27076110,57,4853265
"Norwich","Southeastern CT","Urban Periphery",718,28781030,79000,3166715000,1337,53593645,-619,-24812615,114,4569690
"Old Lyme","Lower CT River Valley","Above-Average-Property Rural",2812,21323396,311000,2358313000,1113,8439879,1698,12875934,39,295737
"Old Saybrook","Lower CT River Valley","Suburban",2851,29385257,316000,3257012000,1204,12409628,1647,16975629,39,401973
"Orange","South Central","Suburban",1580,21936720,175000,2429700000,1334,18521256,247,3429348,39,541476
"Oxford","Naugatuck Valley","Suburban",1513,18736992,168000,2080512000,1371,16978464,142,1758528,45,557280
"Plainfield","Northeast CT","Below-Average-Property Rural",824,12675592,91000,1399853000,1234,18982622,-410,-6307030,46,707618
"Plainville","Capitol Region","Urban Periphery",1022,18058740,113000,1996710000,1320,23324400,-298,-5265660,57,1007190
"Plymouth","Naugatuck Valley","Below-Average-Property Rural",867,10593006,96000,1172928000,1228,15003704,-361,-4410698,45,549810
"Pomfret","Northeast CT","Below-Average-Property Rural",1110,4694190,123000,520167000,1282,5421578,-172,-727388,64,270656
"Portland","Lower CT River Valley","Below-Average-Property Rural",1104,10454880,122000,1155340000,1197,11335590,-92,-871240,42,397740
"Preston","Southeastern CT","Below-Average-Property Rural",1139,5386331,126000,595854000,1198,5665342,-59,-279011,329,1555841
"Prospect","Naugatuck Valley","Suburban",1161,10837935,129000,1204215000,1175,10968625,-14,-130690,40,373400
"Putnam","Northeast CT","Below-Average-Property Rural",848,8107728,94000,898734000,1421,13586181,-573,-5478453,89,850929
"Redding","Western CT","Suburban",2436,22065288,270000,2445660000,1340,12137720,1096,9927568,47,425726
"Ridgefield","Western CT","Wealthy",2677,65503513,296000,7242824000,1327,32470363,1350,33033150,45,1101105
"Rocky Hill","Capitol Region","Urban Periphery",1382,26994606,153000,2988549000,1350,26369550,32,625056,77,1504041
"Roxbury","Northwest Hills","Suburban",3889,9003035,431000,997765000,1210,2801150,2679,6201885,100,231500
"Salem","Southeastern CT","Suburban",1208,4974544,134000,551812000,1133,4665694,75,308850,56,230608
"Salisbury","Northwest Hills","Above-Average-Property Rural",3767,14250561,417000,1577511000,1236,4675788,2531,9574773,62,234546
"Scotland","Northeast CT","Below-Average-Property Rural",931,1577114,103000,174482000,1132,1917608,-202,-342188,87,147378
"Seymour","Naugatuck Valley","Urban Periphery",1047,17214774,116000,1907272000,1378,22657076,-331,-5442302,52,854984
"Sharon","Northwest Hills","Above-Average-Property Rural",3227,9048508,357000,1001028000,1275,3575100,1952,5473408,102,286008
"Shelton","Naugatuck Valley","Suburban",1571,61756010,174000,6839940000,1443,56724330,128,5031680,36,1415160
"Sherman","Western CT","Suburban",2612,9397976,289000,1039822000,1227,4414746,1385,4983230,45,161910
"Simsbury","Capitol Region","Suburban",1452,34119096,161000,3783178000,1241,29161018,211,4958078,27,634446
"Somers","Capitol Region","Below-Average-Property Rural",947,10781595,105000,1195425000,1205,13718925,-257,-2925945,268,3051180
"South Windsor","Capitol Region","Suburban",1365,34912605,151000,3862127000,1260,32227020,105,2685585,66,1688082
"Southbury","Naugatuck Valley","Suburban",1495,29568110,166000,3283148000,1372,27135416,124,2452472,48,949344
"Southington","Capitol Region","Suburban",1228,52473668,136000,5811416000,1225,52345475,3,128193,45,1922895
"Sprague","Southeastern CT","Below-Average-Property Rural",894,2666802,99000,295317000,1226,3657158,-332,-990356,125,372875
"Stafford","Capitol Region","Below-Average-Property Rural",920,11090600,102000,1229610000,1287,15514785,-367,-4424185,98,1181390
"Stamford","Western CT","Urban Periphery",2229,271456536,247000,30080648000,1585,193027640,643,78307112,59,7185256
"Sterling","Northeast CT","Below-Average-Property Rural",983,3704927,109000,410821000,1298,4892162,-315,-1187235,59,222371
"Stonington","Southeastern CT","Above-Average-Property Rural",2044,37777208,226000,4176932000,1169,21605458,875,16171750,31,572942
"Stratford","Greater Bridgeport","Urban Periphery",1203,61492548,133000,6798428000,1502,76776232,-299,-15283684,37,1891292
"Suffield","Capitol Region","Suburban",1119,17359047,124000,1923612000,1156,17933028,-37,-573981,392,6081096
"Thomaston","Naugatuck Valley","Below-Average-Property Rural",956,7516072,106000,833372000,1240,9748880,-284,-2232808,40,314480
"Thompson","Northeast CT","Below-Average-Property Rural",854,8066884,95000,897370000,1223,11552458,-369,-3485574,43,406178
"Tolland","Capitol Region","Suburban",1120,16722720,124000,1851444000,1205,17991855,-86,-1284066,31,462861
"Torrington","Northwest Hills","Urban Periphery",865,31468700,96000,3492480000,1267,46093460,-403,-14661140,47,1709860
"Trumbull","Greater Bridgeport","Suburban",1651,59026552,183000,6542616000,1369,48944488,281,10046312,25,893800
"Union","Northeast CT","Above-Average-Property Rural",1351,1337490,150000,148500000,1399,1385010,-48,-47520,131,129690
"Vernon","Capitol Region","Urban Periphery",778,22716822,86000,2511114000,1281,37403919,-503,-14687097,49,1430751
"Voluntown","Northeast CT","Below-Average-Property Rural",981,2553543,109000,283727000,1238,3222514,-257,-668971,162,421686
"Wallingford","South Central","Suburban",1358,61013582,150000,6739350000,1300,58407700,58,2605882,35,1572515
"Warren","Northwest Hills","Above-Average-Property Rural",2964,4537884,328000,502168000,1231,1884661,1734,2654754,98,150038
"Washington","Northwest Hills","Suburban",4316,15477176,478000,1714108000,1216,4360576,3100,11116600,81,290466
"Waterbury","Naugatuck Valley","Urban Core",591,65054325,65000,7154875000,1440,158508000,-849,-93453675,158,17391850
"Waterford","Southeastern CT","Above-Average-Property Rural",2315,45029065,256000,4979456000,1242,24158142,1073,20870923,49,953099
"Watertown","Naugatuck Valley","Suburban",1117,25134734,124000,2790248000,1186,26687372,-69,-1552638,30,675060
"West Hartford","Capitol Region","Urban Periphery",1039,65525574,115000,7252590000,1289,81292074,-250,-15766500,44,2774904
"West Haven","South Central","Urban Core",700,38674300,77000,4254173000,1450,80111050,-750,-41436750,131,7237619
"Westbrook","Lower CT River Valley","Above-Average-Property Rural",2495,17193045,276000,1901916000,1312,9040992,1183,8152053,37,254967
"Weston","Western CT","Wealthy",3164,32089288,350000,3549700000,1257,12748494,1908,19350936,23,233266
"Westport","Western CT","Wealthy",5074,133187426,562000,14751938000,1452,38113548,3622,95073878,51,1338699
"Wethersfield","Capitol Region","Urban Periphery",1135,30237535,126000,3356766000,1275,33967275,-140,-3729740,44,1172204
"Willington","Capitol Region","Below-Average-Property Rural",1027,6233890,114000,691980000,1233,7484310,-206,-1250420,48,291360
"Wilton","Western CT","Wealthy",3156,56722788,349000,6272577000,1365,24533145,1791,32189643,24,431352
"Winchester","Northwest Hills","Below-Average-Property Rural",950,10655200,105000,1177680000,1206,13526496,-256,-2871296,46,515936
"Windham","Southeastern CT","Urban Periphery",536,13469144,59000,1482611000,1307,32843603,-771,-19374459,204,5126316
"Windsor","Capitol Region","Suburban",1280,37071360,142000,4112604000,1387,40170294,-107,-3098934,28,810936
"Windsor Locks","Capitol Region","Urban Periphery",1441,17963506,160000,1994560000,1413,17614458,27,336582,397,4949002
"Wolcott","Naugatuck Valley","Suburban",1074,17755368,119000,1967308000,1153,19061396,-79,-1306028,32,529024
"Woodbridge","South Central","Suburban",1739,15637088,193000,1735456000,1272,11437824,467,4199264,31,278752
"Woodbury","Naugatuck Valley","Suburban",1510,14991280,167000,1657976000,1132,11238496,379,3762712,29,287912
"Woodstock","Northeast CT","Below-Average-Property Rural",1187,9403414,131000,1037782000,1265,10021330,-78,-617916,49,388178
