"Town","Year","Referrals","Births"
"Connecticut",2005,7532,41722
"Connecticut",2006,7753,41789
"Connecticut",2007,7644,41597
"Connecticut",2008,7532,40388
"Connecticut",2009,7555,38876
"Connecticut",2010,7315,37715
"Connecticut",2011,7285,37277
"Connecticut",2012,7419,36512
