"Formation","Lifespan","Value"
"1980",0,100
"1981",0,100
"1982",0,100
"1983",0,100
"1984",0,100
"1985",0,100
"1986",0,100
"1987",0,100
"1988",0,100
"1989",0,100
"1990",0,100
"1991",0,100
"1992",0,100
"1993",0,100
"1994",0,100
"1995",0,100
"1996",0,100
"1997",0,100
"1998",0,100
"1999",0,100
"2000",0,100
"2001",0,100
"2002",0,100
"2003",0,100
"2004",0,100
"2005",0,100
"2006",0,100
"2007",0,100
"2008",0,100
"2009",0,100
"2010",0,100
"2011",0,100
"2012",0,100
"2013",0,100
"2014",0,100
"1980",1,99.6890117484451
"1981",1,99.5902081311334
"1982",1,99.5263870094723
"1983",1,99.4137710509486
"1984",1,99.5572422517394
"1985",1,99.6746411483254
"1986",1,99.5678550652373
"1987",1,99.5445422263394
"1988",1,99.6169831309592
"1989",1,99.2209960122415
"1990",1,99.2485182049111
"1991",1,99.3677434187838
"1992",1,99.5188003581021
"1993",1,99.4312694495117
"1994",1,99.3826503459287
"1995",1,99.4611127293912
"1996",1,99.4719896973599
"1997",1,99.4242492662001
"1998",1,99.2835107970942
"1999",1,99.1582874562082
"2000",1,99.2204526404023
"2001",1,99.2081792473352
"2002",1,98.9959532717416
"2003",1,98.3038655207663
"2004",1,98.6799606796798
"2005",1,98.5583756345178
"2006",1,98.7714342027462
"2007",1,98.5259587790243
"2008",1,97.8518274130283
"2009",1,97.7713818987982
"2010",1,98.171291674985
"2011",1,98.0513901905654
"2012",1,98.1525171500127
"2013",1,98.2392561680943
"2014",1,98.4268783144108
"1980",2,98.0073715733702
"1981",2,97.7030087350372
"1982",2,97.3725755525485
"1983",2,96.9196333404391
"1984",2,97.3118279569892
"1985",2,97.4545454545455
"1986",2,97.1993684035569
"1987",2,97.444804693531
"1988",2,96.8299242115557
"1989",2,96.2997310581471
"1990",2,96.7400508044031
"1991",2,97.0686285779975
"1992",2,97.4597135183527
"1993",2,97.0490395965232
"1994",2,97.243214475785
"1995",2,97.6478298863967
"1996",2,97.1538956857695
"1997",2,96.8446601941748
"1998",2,96.4872126579759
"1999",2,96.5376040766186
"2000",2,96.4501257334451
"2001",2,96.4585599303894
"2002",2,93.7848362220356
"2003",2,93.885586642941
"2004",2,94.6390956326359
"2005",2,94.4636209813875
"2006",2,94.9411996583667
"2007",2,93.5037829376467
"2008",2,92.6243630631621
"2009",2,92.6646182567773
"2010",2,92.6093032541425
"2011",2,93.1349578256795
"2012",2,93.2379949911074
"2013",2,93.9563657661615
"2014",2,93.5224401181621
"1980",3,95.2891038931122
"1981",3,94.8991696322657
"1982",3,94.2264321154714
"1983",3,94.2869324237902
"1984",3,94.707990723171
"1985",3,94.4593301435407
"1986",3,93.9998337904097
"1987",3,93.7085070248572
"1988",3,92.7797245538261
"1989",3,92.9425948251878
"1990",3,93.8611346316681
"1991",3,94.0682837107714
"1992",3,94.1584601611459
"1993",3,94.0980791930465
"1994",3,94.4119212346993
"1995",3,94.3926594815031
"1996",3,94.1210560206053
"1997",3,93.9941296003613
"1998",3,93.5914021295651
"1999",3,93.6439328449884
"2000",3,93.4367141659681
"2001",3,90.9984772677833
"2002",3,89.03947468886
"2003",3,89.508953924204
"2004",3,90.6052520713383
"2005",3,90.2267343485618
"2006",3,88.9034886012746
"2007",3,87.9826506652752
"2008",3,87.8331317130393
"2009",3,87.05223445218
"2010",3,87.522459572769
"2011",3,88.1482349265854
"2012",3,88.925991797031
"2013",3,88.9340361666301
"1980",4,92.6399447131997
"1981",4,92.2786584708293
"1982",4,91.9485791610284
"1983",4,91.9526753357493
"1984",4,91.8616909129243
"1985",4,91.7894736842105
"1986",4,90.9332668494972
"1987",4,90.5203026092327
"1988",4,90.1393529459702
"1989",4,90.6797737178893
"1990",4,91.1727349703641
"1991",4,91.8611334636165
"1992",4,91.3719785138765
"1993",4,91.3724648567443
"1994",4,90.7184672698244
"1995",4,91.4579085348092
"1996",4,91.281390856407
"1997",4,91.2903589975164
"1998",4,90.5612498756095
"1999",4,90.8321579689704
"2000",4,87.7703269069573
"2001",4,86.7739830324124
"2002",4,84.9049400626098
"2003",4,84.7840078749101
"2004",4,84.7668866732201
"2005",4,84.9712351945854
"2006",4,84.2487352999146
"2007",4,83.8507696321419
"2008",4,83.709080244877
"2009",4,82.5561043911166
"2010",4,83.1303653423837
"2011",4,84.6883786316776
"2012",4,84.1965808863562
"1980",5,90.2441833678876
"1981",5,90.5316510298717
"1982",5,89.6256202074876
"1983",5,89.6290769558729
"1984",5,89.5003162555345
"1985",5,89.1291866028708
