"Town","N"
"Andover",6
"Ansonia",6
"Ashford",6
"Avon",6
"Barkhamsted",6
"Beacon Falls",6
"Berlin",6
"Bethany",6
"Bethel",6
"Bethlehem",6
"Bloomfield",6
"Bolton",6
"Bozrah",6
"Branford",6
"Bridgeport",6
"Bridgewater",6
"Bristol",6
"Brookfield",6
"Brooklyn",6
"Burlington",6
"Canaan",6
"Canterbury",6
"Canton",6
"Chaplin",6
"Cheshire",6
"Chester",6
"Clinton",6
"Colchester",6
"Colebrook",6
"Columbia",6
"Cornwall",6
"Coventry",6
"Cromwell",6
"Danbury",6
"Darien",6
"Deep River",6
"Derby",6
"Durham",6
"Eastford",6
"East Granby",6
"East Haddam",6
"East Hampton",6
"East Hartford",6
"East Haven",6
"East Lyme",6
"Easton",6
"East Windsor",6
"Ellington",6
"Enfield",6
"Essex",6
"Fairfield",6
"Farmington",6
"Franklin",6
"Glastonbury",6
"Goshen",6
"Granby",6
"Greenwich",6
"Griswold",6
"Groton",6
"Guilford",6
"Haddam",6
"Hamden",6
"Hampton",6
"Hartford",6
"Hartland",6
"Harwinton",6
"Hebron",6
"Kent",6
"Killingly",6
"Killingworth",6
"Lebanon",6
"Ledyard",6
"Lisbon",6
"Litchfield",6
"Lyme",6
"Madison",6
"Manchester",6
"Mansfield",6
"Marlborough",6
"Meriden",6
"Middlebury",6
"Middlefield",6
"Middletown",6
"Milford",6
"Monroe",6
"Montville",6
"Morris",6
"Naugatuck",6
"New Britain",6
"New Canaan",6
"New Fairfield",6
"New Hartford",6
"New Haven",6
"Newington",6
"New London",6
"New Milford",6
"Newtown",6
"Norfolk",6
"North Branford",6
"North Canaan",6
"North Haven",6
"North Stonington",6
"Norwalk",6
"Norwich",6
"Old Lyme",6
"Old Saybrook",6
"Orange",6
"Oxford",6
"Plainfield",6
"Plainville",6
"Plymouth",6
"Pomfret",6
"Portland",6
"Preston",6
"Prospect",6
"Putnam",6
"Redding",6
"Ridgefield",6
"Rocky Hill",6
"Roxbury",6
"Salem",6
"Salisbury",6
"Scotland",6
"Seymour",6
"Sharon",6
"Shelton",6
"Sherman",6
"Simsbury",6
"Somers",6
"Southbury",6
"Southington",6
"South Windsor",6
"Sprague",6
"Stafford",6
"Stamford",6
"Sterling",6
"Stonington",6
"Stratford",6
"Suffield",6
"Thomaston",6
"Thompson",6
"Tolland",6
"Torrington",6
"Trumbull",6
"Union",6
"Vernon",6
"Voluntown",6
"Wallingford",6
"Warren",6
"Washington",6
"Waterbury",6
"Waterford",6
"Watertown",6
"Westbrook",6
"West Hartford",6
"West Haven",6
"Weston",6
"Westport",6
"Wethersfield",6
"Willington",6
"Wilton",6
"Winchester",6
"Windham",6
"Windsor",6
"Windsor Locks",6
"Wolcott",6
"Woodbridge",6
"Woodbury",6
"Woodstock",6
"Groton Sewer District",6
"Middletown City F.D.",6
"Bloomfield Center F.D.",6
"Bloomfield Blue Hills F.D.",6
"Cromwell F.D.",6
"Enfield F.D. #1",6
"Enfield Hazardville F.D. #3",6
"Enfield North Thompsonville F.D. #4",6
"Enfield Shaker Pines F.D. #5",6
"Enfield Thompsonville F.D. #2",6
"Center Groton F.D.",6
"Groton Mystic F.D.",6
"Groton Noank F.D.",6
"Groton Poquonnock Bridge F.D.",6
"Groton West Pleasant Valley F.D.",6
"Middletown South F.D.",6
"Middletown Westfield F.D.",6
"New Milford F.D.",6
"Plainfield Central Village F.D.",6
"Plainfield Moosup F.D.",6
"Plainfield F.D.",6
"Plainfield Wauregan F.D.",6
"Simsbury F.D.",6
"Stonington Pawcatuck F.D.",6
"West Haven Allingtown F.D.",6
"West Haven First Center F.D.",6
"West Haven West Shore F.D.",6
"Putnam West Putnam F.D.",6
"Stonington Old Mystic F.D.",6
"City of Groton",6
"Borough of Danielson",6
"Groton Long Point Association",6
"Borough of Jewett City",6
"Borough of Litchfield",6
"Borough of Newtown",6
"Borough of Stonington",6
