Town,FixedTown
New Britain City Treasurer,New Britain
Glastonbury Town Treas/Dir Of Admin Serv,Glastonbury
Wallingford Treasurer Office,Wallingford
Washington Treasurer Office,Washington
West Hartford Dir Of Finance Office,West Hartford
Westport Town Controller,Westport
Jewett City,Griswold
Groton Long Point,Groton
