"Year","Corporation","LLC","Other"
1992,8941,0,0
1993,9326,0,1
1994,8737,544,118
1995,7897,5248,596
1996,7397,7392,753
1997,6799,10085,843
1998,6018,13457,640
1999,5865,15531,599
2000,5926,17295,661
2001,5252,17105,652
2002,5207,20301,718
2003,5079,20517,847
2004,5213,22765,537
2005,5369,23700,514
2006,5505,24467,510
2007,5317,24938,461
2008,4868,22028,431
2009,4316,21130,319
2010,4601,20218,289
2011,4535,20829,317
2012,4305,23023,313
2013,4449,22674,311
2014,4256,23587,370
2015,4294,24058,348
