"Municipality","Planning Region","Population","Municipal Gap($ per capita)","Municipal Gap","State Nonschool Grants ($ per capita)","State Nonschool Grants","quintile"
"Andover","Capitol Region",3143,-16,-50288,60,188580,"3"
"Ansonia","Naugatuck Valley",19193,-734,-14087662,43,825299,"1"
"Ashford","Northeast CT",4309,-291,-1253919,61,262849,"2"
"Avon","Capitol Region",17859,631,11269029,38,678642,"5"
"Barkhamsted","Northwest Hills",3783,95,359385,60,226980,"3"
"Beacon Falls","Naugatuck Valley",5969,-65,-387985,50,298450,"2"
"Berlin","Capitol Region",19694,207,4076658,59,1161946,"4"
"Bethany","South Central",5513,183,1008879,59,325267,"3"
"Bethel","Western CT",18493,85,1571905,40,739720,"4"
"Bethlehem","Naugatuck Valley",3596,265,952940,55,197780,"3"
"Bloomfield","Capitol Region",20406,-159,-3244554,118,2407908,"2"
"Bolton","Capitol Region",5006,36,180216,55,275330,"3"
"Bozrah","Southeastern CT",2603,44,114532,106,275918,"3"
"Branford","South Central",28099,319,8963581,42,1180158,"5"
"Bridgeport","Greater Bridgeport",143412,-1168,-167505216,156,22372272,"1"
"Bridgewater","Western CT",1790,1800,3222000,83,148570,"4"
"Bristol","Naugatuck Valley",60473,-428,-25882444,78,4716894,"1"
"Brookfield","Western CT",16339,658,10751062,31,506509,"5"
"Brooklyn","Northeast CT",8132,-327,-2659164,75,609900,"2"
"Burlington","Northwest Hills",9191,138,1268358,36,330876,"3"
"Canaan","Northwest Hills",1183,805,952315,219,259077,"3"
"Canterbury","Northeast CT",5109,-237,-1210833,51,260559,"2"
"Canton","Capitol Region",10139,227,2301553,31,314309,"4"
"Chaplin","Northeast CT",2481,-416,-1032096,124,307644,"2"
"Cheshire","Naugatuck Valley",29200,112,3270400,202,5898400,"4"
"Chester","Lower CT River Valley",3984,193,768912,58,231072,"3"
"Clinton","Lower CT River Valley",13291,334,4439194,45,598095,"4"
"Colchester","Southeastern CT",15929,-158,-2516782,32,509728,"2"
"Colebrook","Northwest Hills",1395,292,407340,103,143685,"3"
"Columbia","Capitol Region",5449,62,337838,41,223409,"3"
"Cornwall","Northwest Hills",1469,2159,3171571,138,202722,"4"
"Coventry","Capitol Region",12402,-121,-1500642,34,421668,"2"
"Cromwell","Lower CT River Valley",13951,-19,-265069,32,446432,"3"
"Danbury","Western CT",80101,-198,-15859998,99,7929999,"1"
"Darien","Western CT",20580,3782,77833560,26,535080,"5"
"Deep River","Lower CT River Valley",4652,296,1376992,62,288424,"4"
"Derby","Naugatuck Valley",12845,-632,-8118040,147,1888215,"1"
"Durham","Lower CT River Valley",7342,231,1696002,54,396468,"4"
"East Granby","Capitol Region",5055,266,1344630,297,1501335,"4"
"East Haddam","Lower CT River Valley",9069,139,1260591,42,380898,"3"
"East Hampton","Lower CT River Valley",12926,34,439484,39,504114,"3"
"East Hartford","Capitol Region",51091,-740,-37807340,118,6028738,"1"
"East Haven","South Central",29151,-343,-9998793,45,1311795,"1"
"East Lyme","Southeastern CT",19080,321,6124680,84,1602720,"5"
"East Windsor","Capitol Region",11024,-112,-1234688,60,661440,"2"
"Eastford","Northeast CT",1602,-43,-68886,114,182628,"3"
"Easton","Greater Bridgeport",7452,1132,8435664,39,290628,"5"
"Ellington","Capitol Region",15394,-73,-1123762,39,600366,"2"
"Enfield","Capitol Region",44747,-321,-14363787,83,3714001,"1"
"Essex","Lower CT River Valley",6697,1063,7118911,48,321456,"5"
"Fairfield","Greater Bridgeport",59078,885,52284030,71,4194538,"5"
"Farmington","Capitol Region",25186,517,13021162,154,3878644,"5"
"Franklin","Southeastern CT",1958,95,186010,73,142934,"3"
"Glastonbury","Capitol Region",34171,317,10832207,26,888446,"5"
"Goshen","Northwest Hills",2957,1328,3926896,83,245431,"4"
"Granby","Capitol Region",11192,78,872976,33,369336,"3"
"Greenwich","Western CT",61023,5110,311827530,33,2013759,"5"
"Griswold","Southeastern CT",11837,-376,-4450712,39,461643,"1"
"Groton","Southeastern CT",40190,61,2451590,82,3295580,"4"
"Guilford","South Central",22272,641,14276352,28,623616,"5"
"Haddam","Lower CT River Valley",8267,291,2405697,49,405083,"4"
"Hamden","South Central",60547,-336,-20343792,84,5085948,"1"
"Hampton","Northeast CT",1847,-204,-376788,109,201323,"2"
"Hartford","Capitol Region",124817,-1330,-166006610,418,52173506,"1"
"Hartland","Northwest Hills",2158,-126,-271908,104,224432,"3"
"Harwinton","Northwest Hills",5618,144,808992,44,247192,"3"
"Hebron","Capitol Region",9620,-70,-673400,28,269360,"2"
"Kent","Northwest Hills",2982,1334,3977988,95,283290,"4"
"Killingly","Northeast CT",17358,-369,-6405102,87,1510146,"1"
"Killingworth","Lower CT River Valley",6499,350,2274650,57,370443,"4"
"Lebanon","Southeastern CT",7268,-111,-806748,49,356132,"2"
"Ledyard","Southeastern CT",15016,-249,-3738984,114,1711824,"2"
"Lisbon","Southeastern CT",4322,-63,-272286,46,198812,"3"
"Litchfield","Northwest Hills",8484,497,4216548,53,449652,"4"
"Lyme","Lower CT River Valley",2327,2147,4996069,68,158236,"4"
"Madison","South Central",18243,1145,20888235,54,985122,"5"
"Manchester","Capitol Region",57897,-375,-21711375,73,4226481,"1"
"Mansfield","Capitol Region",26130,-730,-19074900,306,7995780,"1"
"Marlborough","Capitol Region",6335,-35,-221725,35,221725,"3"
"Meriden","South Central",60608,-607,-36789056,73,4424384,"1"
"Middlebury","Naugatuck Valley",7459,357,2662863,42,313278,"4"
"Middlefield","Lower CT River Valley",4418,92,406456,96,424128,"3"
"Middletown","Lower CT River Valley",47510,-306,-14538060,242,11497420,"1"
"Milford","South Central",52732,-161,-8489852,72,3796704,"1"
