"Municipality","Planning Region","Population","Municipal Gap($ per capita)","Municipal Gap","State Nonschool Grants ($ per capita)","State Nonschool Grants","quintile"
"Monroe","Greater Bridgeport",19398,210,4073580,35,678930,"4"
"Montville","Southeastern CT",19505,-299,-5831995,178,3471890,"1"
"Morris","Northwest Hills",2411,842,2030062,68,163948,"4"
"Naugatuck","Naugatuck Valley",31778,-506,-16079668,41,1302898,"1"
"New Britain","Capitol Region",73055,-1056,-77146080,156,11396580,"1"
"New Canaan","Western CT",19642,3703,72734326,19,373198,"5"
"New Fairfield","Western CT",13847,353,4887991,27,373869,"4"
"New Hartford","Northwest Hills",6901,110,759110,57,393357,"3"
"New Haven","South Central",129213,-1101,-142263513,393,50780709,"1"
"New London","Southeastern CT",27550,-896,-24684800,316,8705800,"1"
"New Milford","Western CT",28122,178,5005716,58,1631076,"4"
"Newington","Capitol Region",30441,-94,-2861454,125,3805125,"2"
"Newtown","Western CT",27235,289,7870915,87,2369445,"5"
"Norfolk","Northwest Hills",1574,1006,1583444,225,354150,"4"
"North Branford","South Central",14356,67,961852,46,660376,"3"
"North Canaan","Northwest Hills",3329,2,6658,158,525982,"3"
"North Haven","South Central",23981,254,6091174,92,2206252,"5"
"North Stonington","Southeastern CT",5272,245,1291640,216,1138752,"4"
"Norwalk","Western CT",85145,318,27076110,57,4853265,"5"
"Norwich","Southeastern CT",40085,-619,-24812615,114,4569690,"1"
"Old Lyme","Lower CT River Valley",7583,1698,12875934,39,295737,"5"
"Old Saybrook","Lower CT River Valley",10307,1647,16975629,39,401973,"5"
"Orange","South Central",13884,247,3429348,39,541476,"4"
"Oxford","Naugatuck Valley",12384,142,1758528,45,557280,"4"
"Plainfield","Northeast CT",15383,-410,-6307030,46,707618,"1"
"Plainville","Capitol Region",17670,-298,-5265660,57,1007190,"1"
"Plymouth","Naugatuck Valley",12218,-361,-4410698,45,549810,"2"
"Pomfret","Northeast CT",4229,-172,-727388,64,270656,"2"
"Portland","Lower CT River Valley",9470,-92,-871240,42,397740,"2"
"Preston","Southeastern CT",4729,-59,-279011,329,1555841,"3"
"Prospect","Naugatuck Valley",9335,-14,-130690,40,373400,"3"
"Putnam","Northeast CT",9561,-573,-5478453,89,850929,"1"
"Redding","Western CT",9058,1096,9927568,47,425726,"5"
"Ridgefield","Western CT",24469,1350,33033150,45,1101105,"5"
"Rocky Hill","Capitol Region",19533,32,625056,77,1504041,"3"
"Roxbury","Northwest Hills",2315,2679,6201885,100,231500,"5"
"Salem","Southeastern CT",4118,75,308850,56,230608,"3"
"Salisbury","Northwest Hills",3783,2531,9574773,62,234546,"5"
"Scotland","Northeast CT",1694,-202,-342188,87,147378,"3"
"Seymour","Naugatuck Valley",16442,-331,-5442302,52,854984,"1"
"Sharon","Northwest Hills",2804,1952,5473408,102,286008,"5"
"Shelton","Naugatuck Valley",39310,128,5031680,36,1415160,"5"
"Sherman","Western CT",3598,1385,4983230,45,161910,"4"
"Simsbury","Capitol Region",23498,211,4958078,27,634446,"4"
"Somers","Capitol Region",11385,-257,-2925945,268,3051180,"2"
"South Windsor","Capitol Region",25577,105,2685585,66,1688082,"4"
"Southbury","Naugatuck Valley",19778,124,2452472,48,949344,"4"
"Southington","Capitol Region",42731,3,128193,45,1922895,"3"
"Sprague","Southeastern CT",2983,-332,-990356,125,372875,"2"
"Stafford","Capitol Region",12055,-367,-4424185,98,1181390,"2"
"Stamford","Western CT",121784,643,78307112,59,7185256,"5"
"Sterling","Northeast CT",3769,-315,-1187235,59,222371,"2"
"Stonington","Southeastern CT",18482,875,16171750,31,572942,"5"
"Stratford","Greater Bridgeport",51116,-299,-15283684,37,1891292,"1"
"Suffield","Capitol Region",15513,-37,-573981,392,6081096,"2"
"Thomaston","Naugatuck Valley",7862,-284,-2232808,40,314480,"2"
"Thompson","Northeast CT",9446,-369,-3485574,43,406178,"2"
"Tolland","Capitol Region",14931,-86,-1284066,31,462861,"2"
"Torrington","Northwest Hills",36380,-403,-14661140,47,1709860,"1"
"Trumbull","Greater Bridgeport",35752,281,10046312,25,893800,"5"
"Union","Northeast CT",990,-48,-47520,131,129690,"3"
"Vernon","Capitol Region",29199,-503,-14687097,49,1430751,"1"
"Voluntown","Northeast CT",2603,-257,-668971,162,421686,"2"
"Wallingford","South Central",44929,58,2605882,35,1572515,"4"
"Warren","Northwest Hills",1531,1734,2654754,98,150038,"4"
"Washington","Northwest Hills",3586,3100,11116600,81,290466,"5"
"Waterbury","Naugatuck Valley",110075,-849,-93453675,158,17391850,"1"
"Waterford","Southeastern CT",19451,1073,20870923,49,953099,"5"
"Watertown","Naugatuck Valley",22502,-69,-1552638,30,675060,"2"
"West Hartford","Capitol Region",63066,-250,-15766500,44,2774904,"1"
"West Haven","South Central",55249,-750,-41436750,131,7237619,"1"
"Westbrook","Lower CT River Valley",6891,1183,8152053,37,254967,"5"
"Weston","Western CT",10142,1908,19350936,23,233266,"5"
"Westport","Western CT",26249,3622,95073878,51,1338699,"5"
"Wethersfield","Capitol Region",26641,-140,-3729740,44,1172204,"2"
"Willington","Capitol Region",6070,-206,-1250420,48,291360,"2"
"Wilton","Western CT",17973,1791,32189643,24,431352,"5"
"Winchester","Northwest Hills",11216,-256,-2871296,46,515936,"2"
"Windham","Southeastern CT",25129,-771,-19374459,204,5126316,"1"
"Windsor","Capitol Region",28962,-107,-3098934,28,810936,"2"
"Windsor Locks","Capitol Region",12466,27,336582,397,4949002,"3"
"Wolcott","Naugatuck Valley",16532,-79,-1306028,32,529024,"2"
"Woodbridge","South Central",8992,467,4199264,31,278752,"4"
"Woodbury","Naugatuck Valley",9928,379,3762712,29,287912,"4"
"Woodstock","Northeast CT",7922,-78,-617916,49,388178,"2"
