"Municipality","SFY 2000-2001","SFY 2001-2002","SFY 2002-2003","SFY 2003-2004","SFY 2004-2005","SFY 2005-2006","SFY 2006-2007","SFY 2007-2008","SFY 2008-2009","SFY 2009-2010","SFY 2010-2011","SFY 2011-2012","SFY 2012-2013","SFY 2013-2014"
"Chester",391267133,461686110,512396853,584984369,574697440,709865131,770999602,768858652,732029079,721675969,651245975,686977349,634519844,670265984
"Clinton",1243326673,1294403926,1644124300,1874468272,2112065902,2386718406,2338812236,2544527056,2547863310,2295657544,2222717758,2130140264,2096939873,2143157440
"Colchester",974148258,1084732138,1088311304,1351728080,1531606679,1678268070,1865719425,1750253359,1851878356,1752979789,1752181106,1768924794,1681198817,1713186821
"Colebrook",151866569,147976957,188634866,217017652,237978490,265307641,260320430,285784134,267797540,218508765,250747152,260445069,243345406,236048961
"Columbia",426730651,470250792,452951143,577919658,642917548,736212678,784831010,738700757,802659883,725100731,720081218,687043326,662497596,676993655
"Cornwall",280734138,333230144,305334576,423303574,467607392,568378887,633961865,634406507,608085059,582171241,572022781,510908379,558229843,506565540
"Coventry",772591520,805159907,946326428,1053326858,1198057066,1149266643,1397105333,1468099474,1446495746,1390215935,1366219704,1331531195,1323175982,1353205676
"Cromwell",1093924839,1258874165,1433367658,1357381133,1583870662,1815383789,1948854576,1980706010,1929219407,1881859722,1871234450,1905273841,1782299356,1794452347
"Danbury",6358392929,7357096958,8402511289,7099246971,9469435689,11027563560,12534548686,12671862277,10347419783,9919097244,10050978530,9696064958,9161036487,9754447760
"Darien",6003096864,7504779305,8283603259,9287337517,8889571516,11659514242,12464978529,12768925522,12460762952,9431803793,11672335338,11544591566,11544162952,12451401017
"Deep River",446980094,501485959,507325721,660473771,727752479,838006028,726064844,764690796,797932677,752337780,703826645,684869066,682594876,674174035
"Derby",724467756,739051420,893735841,1054070676,1209433601,1459683255,1282926511,1397512196,1380321088,1251941463,1190337208,1091576401,1066521234,943469618
"Durham",609373407,620931867,770871805,866034599,989395535,1079852971,1062829529,1110472228,1121857150,1095711674,1087392123,1039135069,1028249575,1008830953
"Eastford",113388303,128139091,140640211,134670589,172574545,209323731,222686636,236095836,230485274,227584490,221350086,173430595,185964069,217697015
"East Granby",508441631,571545257,647950570,653741034,677680456,763598123,831982586,871556067,831397082,814818201,835190014,748993766,764970437,804101890
"East Haddam",765325720,840767688,931751487,906220951,1187804658,1305937729,1387672463,1468673777,1393560644,1314533887,1360122328,1313702461,1236067714,1206408850
"East Hampton",825058629,891224060,996553647,1165736975,1349793196,1509409785,1524544699,1723486912,1709710103,1636772457,1642527989,1592790943,1533936947,1555518029
"East Hartford",2881528040,3143283796,3389738837,3903131066,4202990710,4356509975,4786965847,4051722914,4904766424,4390028134,4288594846,3966619309,3849203343,3936906558
"East Haven",1576113127,1693585663,2098279939,2338884606,2777647541,3072469405,3314709992,3177700767,3279898969,2968044077,2925349234,2805476865,2818987196,2578578931
"East Lyme",1538794054,1741990862,1830118560,2513188156,2785989192,3146338300,3375105334,3210848344,3396007522,3192934419,3151465727,3019753443,2925132153,2932491385
"Easton",1457417654,1675377260,1762123897,1716222243,2096318624,2253935474,2434259851,2369351530,2202760061,1828719691,1929450919,1898190023,1883133657,1853145732
"East Windsor",867578431,889971042,1008897398,1005229276,1170239172,1342083584,1427927547,1481295786,1542874109,1557733171,1502243643,1404317112,1313333289,1330898946
"Ellington",837794598,933485980,1101318381,1282220212,1468173216,1643041583,1628457220,1859058264,1857807278,1852462871,1870347137,1775579566,1775809961,1789664579
"Enfield",2781171445,3094482811,2884323894,3630990393,4035621298,4320230221,4832501061,4551499194,4888653263,4284864472,4716736849,4158566581,4062183096,4081383174
"Essex",910252847,1126643535,1239252031,1339381419,1412372140,1665980478,1765373657,1842671127,1754140000,1601097690,1628745342,1562802546,1473597147,1493863898
"Fairfield",9468986473,10403151686,10250034299,13766904158,14931692090,17057834889,16662195443,17072416750,16375127214,15496392316,14777580117,15424548293,15534035048,16145663531
"Farmington",3236747746,3550576651,3992532576,3764663293,4311609830,4876994775,5250021685,5722469042,5264313574,5396675900,5237838337,5016473381,5313947102,4964907343
"Franklin",169084004,195145203,218657724,223416351,233496676,283925402,313943781,329800657,326464423,299180590,287293057,291331006,279527369,278675631
"Glastonbury",3501595873,3947320450,4214628515,4126843486,5101833622,5663902306,5856152420,6104015650,5830109186,5953642196,5802756444,5718023248,5742991731,5441509440
"Goshen",420201180,444322861,465777416,493770033,677978396,779534263,828668251,798524153,854305176,813662000,798165999,788916770,729286705,740215957
"Granby",883754732,988430635,1079962058,1087244586,1325608721,1439837449,1546982021,1571154395,1495997300,1482340792,1455486144,1397471124,1408127839,1363093257
"Greenwich",24294026898,26591601711,29431808439,38418587047,42401517748,49811503914,46909058280,52350613343,52513936427,43955745676,44032314926,43381228410,42269356545,45635509076
"Griswold",589423456,636345082,632796367,846932399,951675298,1137763770,1275432556,1138013359,1183963339,1113390832,1100295985,1009839725,997412759,958388012
"Groton",3578702177,3932246902,3891265661,4880525378,5512999225,6125214279,6423553860,4839951709,5819429482,5650001776,5973519503,5219564260,5674978734,5453605492
"Guilford",2616722384,2898182901,3330374704,3421407384,4186279012,4639365468,4890602706,4993873043,4947979604,4482204306,4433476292,4466535556,4177877721,4401457459
"Haddam",751826893,747587501,781368023,973958248,1091294023,1228128153,1203605563,1373074518,1354895232,1206332485,1311781157,1272219726,1235489184,1197059823
"Hamden",3632393361,3658428090,4502690644,5160673502,5871457875,6577296743,6041312037,6872361698,6663409793,6351601147,6106840331,5754354481,5517481552,5513135592
"Hampton",110061871,120020633,134629587,161962202,163096723,197339536,226516653,221931393,225016283,218166754,192795747,208128935,203292220,188468025
"Hartford",5099500077,5794370126,6226723655,6515441287,7516844095,8511588775,9210207486,5617517672,8029737495,7309947142,7713607784,7147577757,6526348965,6888293807
"Hartland",169331177,182022029,186576516,205785543,245096953,273982423,272189257,299244219,297022477,280976604,258031633,261420906,277715086,288386501
"Harwinton",474666607,512445564,555888960,634044846,629068331,807520241,862482397,886628761,827522244,793695066,817316050,748162896,790175622,760025199
"Hebron",687694886,748188268,778224891,922483412,1020869269,1152513923,1210208623,1209139624,1189642022,1133998456,1116961988,1115238901,1097934379,1080916746
"Kent",428306146,522248041,618835450,631430774,637266394,899132221,965153780,995505211,974362763,931212629,844999865,810280827,686205494,701869675
"Killingly",921030439,1099886214,1208247967,1127542314,1583128180,1785899238,1980051494,1988488894,1853407186,1738014001,1697988947,1626787833,1491814232,1597543143
"Killingworth",635602071,698077703,769143974,888808332,1005072452,1085226066,1152086134,1136685333,1125223765,1092312963,1030768606,1010340966,1021230811,970463261
"Lebanon",452381201,516388106,581437915,639688668,649121366,873770023,945377955,971754520,996288672,932756311,902316815,870115361,839856300,843273018
"Ledyard",1011755569,1103582500,1113114997,1407113336,1548634487,1774281996,1622851876,1818274359,1783873636,1675024840,1647387295,1560175001,1495867237,1480806732
"Lisbon",279564761,301582393,332465614,404800624,483460289,550174547,624130466,543292414,576821110,565225685,559215410,505719283,548596973,565256731
"Litchfield",879570823,1012216113,1189272194,1308074956,1191187709,1605433716,1723182546,1752551589,1770768034,1557736187,1538582916,1425528147,1425894469,1421529441
"Lyme",388033311,512792246,519430791,685543522,707249809,838979843,882222975,854830282,904855732,860149200,873380785,786819970,681950153,713714387
"Madison",2484478891,2736944788,3150800024,3353859209,4090891285,4463041164,4665396276,4750966920,4876842999,4435997612,4474726705,4321079301,4169051045,4351612899
"Manchester",3516190233,4046242140,4486068345,4912607624,5303642498,5870881342,6485396556,4902484041,5959628016,6155739358,6156673188,5655669334,5558448949,5476686374
"Mansfield",750689946,769828843,962341987,1071073099,1192413029,1239359901,1509256266,1480091334,1454525357,1457680568,1385350301,1443630905,1339347646,1369554704
"Marlborough",496439497,548835703,559866530,687165356,744649120,831987065,867577130,916884957,887051559,864120395,823874005,792883433,807409860,819164512
"Meriden",2978826943,3159150656,3417139531,4056950391,4325518736,5016026552,5675975377,5201706481,5530244034,5216822521,5064112331,4637734807,4644224171,4263929656
"Middlebury",877211551,913922661,930235267,1207099667,1316670068,1463524858,1573257837,1491853687,1528310895,1466080059,1417532060,1307481072,1314965601,1338288169
"Middlefield",386827280,441803640,429162314,526450789,591040963,662532095,709670888,649565171,659706940,633422989,624654715,607342309,573588857,543459169
"Middletown",3175667191,3582465846,3828866438,3622269297,4582120071,5095087576,5612083177,5745220104,5072231780,5585366023,5170605909,4963496158,4870325433,4608171738
"Milford",5479657846,5574282023,7193657701,8255126713,9253413601,9955008582,10519748991,10214669430,7423848716,6972378128,7186613467,6852065504,9154001283,9443606030
"Monroe",1964627529,2463324893,2776887751,3038091099,2882295437,3624726036,3849660841,3845023945,3755749821,3562432689,3277578057,3220913936,3098919583,3207048912
"Montville",1209448267,1304831031,1389907079,1715704553,1917668059,2076079118,2370496538,2113241213,2202457900,2036255401,2100781524,2002452063,1850227589,1776946041
"Morris",285023341,306630430,369007071,429931273,482418416,467397793,563191616,666197298,607499990,580352540,509508078,502130423,498407737,464963219
"Naugatuck",1747827045,1684096357,2014156808,1975467529,2506127235,2884994064,3091541654,3202794985,2913509729,2692330968,2657203651,2503021520,2353969969,2254139970
"New Britain",2352215676,2531207663,2838006704,2997328743,3588382136,4101710437,4598120974,4617766549,4266713050,4136232104,4012522055,3797502495,3549594737,3498493916
"New Canaan",6522294223,7459898254,7861072743,8878786285,9367732786,11966184457,12506007057,13048972888,12598242853,11631228943,10795708737,10871994421,11358746273,11387799066
"New Fairfield",1677801950,1580231521,1975694844,2179458580,2518368387,2557947819,2942648043,2849406053,2817408878,2522788136,2394629950,2439853272,2241292944,2238854493
"New Hartford",541318211,623877117,672841698,764006770,769085160,955389042,1035775414,1066547118,1029260517,1007330607,964152928,955598367,944979390,939030593
"New Haven",4297003290,5059690806,5632625847,6739549068,7789399968,8966234949,9996146562,6370284874,7593243863,8460921705,7748069515,6779089379,8567371656,9330121969
"Newington",2395229897,2467004166,2868380207,3286385834,3505059414,4051823902,3714043661,4219375008,4076961126,3955308064,4073474409,3880511002,3648904984,3651832566
"New London",1163418910,1406656839,1618702517,1836729934,1822817954,2304168203,2777889281,2410966668,2177713082,2347432933,2104151971,1994278344,1874244934,1837874032
"New Milford",2611298202,2876732867,3019657799,3816746683,4365228995,4822482901,4310929064,5123703742,4922456357,4399655945,4366729431,4088829950,4089945389,4007864030
"Newtown",3114739360,3599419627,3919527414,4013475540,4947025867,5446999350,5624980765,5802328236,5610981061,5018212097,4779608801,4662225678,4362136948,4339760783
