Location,SFY 2009-2010,SFY 2010-2011,SFY 2011-2012,SFY 2012-2013,SFY 2013-2014
Total,"$547,393,028,941 ","$537,174,836,838 ","$517,790,019,667 ","$508,639,697,277 ","$517,172,671,115 "
Andover,"$376,368,494 ","$377,034,536 ","$375,282,778 ","$369,373,776 ","$359,165,307 "
Ansonia,"$1,533,969,464 ","$1,484,130,265 ","$1,456,089,783 ","$1,356,816,401 ","$1,276,588,989 "
Ashford,"$462,339,581 ","$454,127,481 ","$405,748,471 ","$421,452,029 ","$403,533,699 "
Avon,"$3,744,303,900 ","$3,649,823,882 ","$3,572,440,736 ","$3,573,844,477 ","$3,603,844,068 "
Barkhamsted,"$527,705,389 ","$533,907,239 ","$531,437,283 ","$505,822,210 ","$485,270,508 "
Beacon Falls,"$685,384,414 ","$711,752,725 ","$636,220,058 ","$675,570,669 ","$641,059,735 "
Berlin,"$3,211,952,015 ","$3,269,406,578 ","$3,173,994,700 ","$3,087,503,864 ","$3,080,343,787 "
Bethany,"$886,672,444 ","$864,122,513 ","$818,192,358 ","$820,596,492 ","$815,132,209 "
Bethel,"$3,103,236,798 ","$2,815,952,632 ","$2,769,107,286 ","$2,654,603,288 ","$2,646,524,193 "
Bethlehem,"$569,541,446 ","$562,933,592 ","$552,927,754 ","$490,788,175 ","$531,735,907 "
Bloomfield,"$3,141,560,761 ","$2,963,847,920 ","$2,786,819,016 ","$2,595,430,274 ","$2,802,966,115 "
Bolton,"$669,352,493 ","$660,466,933 ","$639,975,197 ","$596,743,013 ","$614,405,621 "
Bozrah,"$326,361,925 ","$362,193,839 ","$299,899,708 ","$314,565,082 ","$308,291,157 "
Branford,"$5,401,901,383 ","$4,939,663,243 ","$4,932,416,163 ","$4,905,862,518 ","$5,030,865,923 "
Bridgeport,"$9,673,049,563 ","$9,790,215,961 ","$8,760,393,532 ","$7,729,475,314 ","$8,275,778,089 "
Bridgewater,"$529,125,497 ","$571,263,810 ","$494,235,816 ","$551,028,926 ","$522,898,157 "
Bristol,"$6,164,454,137 ","$6,111,926,027 ","$5,587,418,252 ","$5,459,212,487 ","$5,400,791,639 "
Brookfield,"$3,320,021,556 ","$3,315,269,259 ","$3,119,479,688 ","$3,101,025,713 ","$3,191,616,523 "
Brooklyn,"$747,131,497 ","$739,271,794 ","$699,341,455 ","$688,058,184 ","$736,109,247 "
Burlington,"$1,300,774,610 ","$1,265,793,121 ","$1,241,201,726 ","$1,242,699,537 ","$1,268,897,485 "
