Recipient,FY04,FY05,FY06,FY07,FY08,FY09,FY10,FY11,FY12,FY13,FY14,FY15
North Haven,617158,14633389,10146741,3054659,685059.43,601787.08,395991.68,353353.71,246098.72,236881.39,225447.34,216151
North Stonington,604260,589200,462634,445366,428334.54,411213.83,396714.27,378765.33,363989.57,345178.91,5965.82,323859
Norwalk,5222777,17918349,10605535,8652041,8753418.78,3266834.11,1680428.65,635723.16,4014.27,0,105819,876589
Norwich,1623720,1317333,695527,1201051,1082980.1,2596267.77,5223343.01,12997732.09,4910232.01,108944.56,3934448.76,0
Old Saybrook,562207,541063,1073744,3182050,1389641.87,130083.46,278848.8,167646.93,0,0,0,0
Orange,138200,0,0,519234,0,631125,0,0,0,0,0,529315
Oxford,662992,492983,3898688,11619546,3798889.28,222618.43,1801808.39,576013,0,37166,2828,27539
Plainfield,4627120,23024431,5612042,3616705,1757687.92,908507.26,744088.7,486609.14,0,0,0,0
Plainville,1272102,3948365,5629208,3217786,21852077.62,10645876.56,633046.38,4746344.27,1358982,451740,1755568,0
Plymouth,815481,1940771,5929157,12396905,6221681.68,3366368.5,447946.08,1978215.48,415197.84,32540,0,0
Pomfret,434147,412950,270469,257801,0,0,0,359659,38309,0,0,0
Portland,16132054,2377797,302191,338097,258747.06,500107.93,192615.7,127684.98,0,0,0,0
Preston,814615,5730,362458,285476,0,0,0,0,0,0,0,0
Putnam,177980,0,0,0,0,0,618751,5808,0,0,0,5567891
Redding,96582,93198,89760,86296,82804.71,79286.61,75741.67,67604.19,0,0,0,0
Ridgefield,4925936,27670,26377,877985,168561.7,374254.67,125407.75,821743.95,7497.39,147646.51,22115,0
Rocky Hill,408452,802796,282749,271690,260297.16,252692.6,202930.45,1696.08,192587.03,0,0,2844291
Salem,316698,304561,500266,302868,254715.02,0,0,51502,24157,121438,1406845,0
Salisbury,120396,115783,111211,106680,102063.4,97368.48,92722.76,572.79,0,69789.45,0,0
Scotland,107698,103136,98503,93871,3132189.09,3213809.43,79902.61,609704.8,0,0,63935,0
Seymour,405988,6740653,3977729,784006,0,0,0,0,14902128,2812782,662954,243232
Sharon,55459,52995,51620,49261,46871.31,45444.37,43015.53,41532.54,188.53,0,0,0
Shelton,363575,755897,1871662,1970314,1761589,1710124,7564041,902373,0,1127584,0,1855017
Sherman,296845,45493,43602,0,35351.24,34750.61,34192.88,33613.71,74978,3946,0,0
Simsbury,2006346,4315991,2214421,54675,98958,1169220.68,617067,0,958286,451140,0,64872
Somers,1199785,3377384,3542272,2711062,1115005.42,686740.19,659204.81,634017.69,341774.35,189606.25,25610.52,0
South Windsor,1213438,1167281,1253314,1062472,1079987.63,924523.95,866528.58,696078.84,313042.62,0,19316,0
Southington,1753889,441636,637131,8123239,1500532.05,4462707.47,7431353.76,1009949.63,2188359.95,193357.79,21748622.5,17951852
Sprague,0,0,0,0,0,111409,28702,39841,0,0,0,0
Stafford,859685,810311,15607112,13316782,4482490.03,1471905.61,583322.36,1103928.9,1797769,0,-14840,0
Stamford,5443515,8434309,27349056,30929271,20712215.41,26384120.22,8530508.44,814085.07,1068786.48,965940.53,1590237.53,2037427
Sterling,124915,119385,226151,10074883,4142527.03,1751951.68,2168353,0,0,0,0,0
Stonington,3811721,241110,5719586,215909,1276204.7,184691.78,3473.87,0,0,0,0,0
Stratford,4818536,3778162,3756090,3740138,3093230.1,1730658.24,907840.26,605188.89,781392.21,561956.18,615396.38,3845911
Suffield,35277,2077065,0,87945,214222,1078595,1175603,13972,3304991,1500437,-43255,188024
Thomaston,972982,3243130,1215539,421676,337515.21,444594.45,197439.26,177673.27,72196.91,182954.09,178722.82,1610479
Thompson,9021,0,22795,8797028,12385813,397904,0,0,0,620454,0,0
Tolland,2271601,4070623,20372207,2325962,896314.79,501330.01,432286.47,361558.16,350980.18,694830.26,332599.86,322160
Torrington,3459201,15121673,4946458,6276079,2783734.43,2416431.27,3873169.49,2403201.84,1719989.76,985528.81,2026468.1,908462
Trumbull,4893079,1839135,2417339,1440291,4045820.93,1657221.82,2391401.48,2710220.63,2804264.96,12708265.81,1373563.16,515217
Union,0,0,0,0,0,1031106,1394363,449198,178662,160702,0,85605
Vernon,1018644,588699,410370,3089558,11560165.25,7319288.64,3430546.96,2231458.04,1118851.61,4029454.77,2555631,11198
Voluntown,365134,214190,202551,191752,180954.16,245248.89,141519.11,0,0,0,0,0
Wallingford,3478928,13325882,9368467,1254272,2190172.92,13327796.7,13002974.65,2219813,0,1125165.7,6752329,0
Waterbury,309806,2177262,4219090,5234932,17561509,9037977,32023388,20226521,38958335,61184519,15174063,17142362
Waterford,3292,12534832,6250250,8578957,4555165,6185771,5732376,2135918,2498365,6277393,2304860,412036
Watertown,1461119,1889257,2416743,9726970,9966839.11,12702468.03,17387236.63,11437803.06,741560.97,714369.41,691466.99,667094
West Hartford,3036658,5387311,4579067,1799363,2536905.15,1992841.96,1649697.52,828412.44,538487.98,552996.19,174885.79,5617793
West Haven,8305426,5960883,2294779,2264952,3848716.38,1693802.3,1229357.09,1082120.35,1134550.72,803280.08,1571151,2210734
Westbrook,576710,557922,5239211,516841,497859.63,1332986.97,459150.61,350880.3,325767.12,103516.88,0,0
Weston,826755,6318694,3879245,249286,113396.22,254998.99,224377.22,1303.92,0,0,108149,247590
Westport,3047343,5195306,2150787,477770,415198.25,1046399.82,413266.28,400985.32,388248.23,310845.12,290111.47,279412
Wethersfield,2938603,2263364,1314403,498777,178089.35,171322.52,532245.4,156151.42,-523556.69,120709.83,2410281.5,19819148
Willington,122476,118503,100197,96017,119478.78,105358.26,0,0,0,0,0,56363
Wilton,776815,417021,352926,327989,314671.43,300858.35,290482.17,261214.95,245477.31,233843.6,339728.51,191452
Winchester,335083,318250,301417,652988,275735.52,223083.76,346481,21635,324149,0,0,0
Windham,1651520,1589955,987862,1522428,1224608.36,1569533.79,1736246.98,3241801.28,18821711.2,8400697.04,3925044.86,6844467
Windsor,751007,2961577,759548,1045203,654054.49,403198.71,390422.06,631069.76,959109.16,241856.58,836936.07,188363
Windsor Locks,484573,549073,361220,322770,348256.97,338654.57,327868.7,701983.95,477001.98,642025.3,592288.7,600122
Wolcott,1343432,1415817,1574823,1261359,2200381.13,1194541.95,1001193.09,1055556.31,581078.68,812172.91,787772.31,765206
Woodbridge,146549,124465,111635,139555,104448.87,101737.15,98187.07,94665.5,91172.48,87625.95,84027.65,80379
Woodstock,482688,510463,435633,421990,407506.02,509854.56,373498.36,354947.69,362071.74,321132.7,48355,0
Total,352971136,521288839,599508745,650390892,569630208.3,516695360.6,445234509.7,312030490.8,366983778.6,342440634.2,254398827.3,387267104
