Recipient,FY04,FY05,FY06,FY07,FY08,FY09,FY10,FY11,FY12,FY13,FY14,FY15
Andover,0,215067,606005,210725,0,0,0,0,0,0,0,0
Ansonia,2923928,3115691,2844015,2789969,2372678.96,2309293.08,2291686.17,2211394.8,2132519.71,5026642.62,1796898.4,1715790
Ashford,143578,110779,83682,125078,118877.15,344008.84,124057.54,105899.22,0,0,100411.93,0
Avon,671590,543408,492669,470601,6235535.73,973161.23,586214.63,536024.47,194524.37,0,0,127076
Barkhamsted,148209,146306,134415,127654,121163.16,114672.26,0,0,0,0,0,0
Berlin,712991,529165,527588,593974,290707.44,118329.55,356829,0,617449,1396691.6,11046291,13033017
Bethany,248782,204160,194404,196260,199790.47,192622.99,187450.14,179940.28,163000.44,157386.71,149826.39,144040
Bethel,521194,708565,494657,481284,5218475.35,4846729.8,1014476.02,558080.5,5110.93,4899.97,0,0
Bloomfield,158924,38075,146710,3204031,3442472,16086036,13911751,5959528,6817957,1403692,1053020,0
Bolton,445128,429198,411698,368341,350265.28,375306.13,319462.38,5097548,5113045.39,143858.9,0,0
Bozrah,141313,270209,205780,197293,191072.3,182190.26,175497.47,168997.99,162192.82,2084.33,153132.59,0
Branford,1181134,1069669,1177478,1074052,1094339.32,881088.66,782688.2,776380.95,774167.36,768004.71,739962.93,335800
Bridgeport,7634278,21617909,41340186,48343027,89862449.52,38178606.21,27310794.79,28035808.63,37956859.02,61454275.56,31749033.82,39745177
Bristol,1629506,1367939,3903692,12781716,0,0,2119267,11492106,45414733,8314746,0,693224
Brookfield,1947488,349717,337300,4485136,301380.08,3910723.07,900797.34,167598.18,189883.59,159387.57,440267.25,295218
Brooklyn,735880,611879,590875,753020,3891703.85,629313.18,515069.31,898018.05,471937.39,804723.05,1307548.29,251824
Canaan,42745,41902,30343,27840,27051.66,26263.07,25474.5,24685.91,23897.34,23108.74,22320.18,21532
Canterbury,470482,578224,422538,407192,378471.94,324274.43,102914.57,33980.03,0,568856,0,0
Canton,788973,6505412,1597767,243090,229826.85,219455.74,204553.96,203715.96,185350.86,161327.27,0,0
Chaplin,315947,302448,288948,275448,261948.55,248448.79,234949.07,193748.94,0,0,0,0
Cheshire,1282431,1115306,751392,933649,773721.16,765846.54,879133.15,577389.66,602300.14,738222.33,352541.91,213217
Chester,98052,94281,90510,88624,84852.68,82967.07,79195.83,-9961.2,0,0,0,0
Clinton,495489,468332,301374,2113472,1601314.78,351259.83,40144.46,154516.52,30680,0,0,6138853
Colchester,7950085,2221821,2605268,14796199,3638451.69,1168468.76,988209.83,2272205.39,304256.34,289554.81,0,0
Colebrook,40863,38936,36984,30141,44772.61,26924.63,25284.35,23643.98,0,0,77603,4084
Columbia,507036,500917,521396,403407,374434.52,359544.66,345225.69,329627.71,315449.24,184828.3,177123.92,169651
Cornwall,497159,239907,73002,69220,65438.35,61656.68,57875.07,49403,0,0,0,0
Coventry,267567,189755,420660,360205,258345.68,639220.47,381336.7,116325.9,1502390,92343,59822,0
Cromwell,1005225,7744145,4015706,740154,347097,770,561570,1876617,0,0,347537,0
Danbury,3790613,1084556,18871480,8039799,798274.26,8652926.4,3734014.76,666878.09,747310.22,633794.63,244304.42,17444416
Darien,5852384,4546537,2398786,1352324,1144922.15,302204.02,2760920.38,389679.52,439312.37,253138.41,327306.61,308187
Deep River,4768,4578,4384,4186,0,30855,7399,0,0,0,0,0
Derby,324223,418491,346262,284913,186673.47,6479679.31,10761424.31,145785,0,0,0,3615397
East Granby,135938,160013,123809,108314,98946.03,28487.67,111219.71,11731,0,3800802,776751,17031
East Haddam,518184,618682,481906,3067021,8553631.68,4412532.52,393300.26,373366.58,237104.69,286056.89,795346,0
East Hampton,1036771,1003917,971100,733348,658108.47,646989.49,638725.68,390124.61,475496.3,1652620.53,143273.26,6517689
East Hartford,3077357,6203639,1828637,3894173,143748.11,421387.57,739040,1014579,0,1025940,58400,187591
East Haven,2943811,2660180,2665046,2281535,2372654.44,2363617.3,3207796.3,3232543.89,1997958.07,1932903.8,1776688.96,1611129
East Lyme,27803,26522,1336019,68703,1006553.05,76479.93,0,0,0,0,0,0
East Windsor,279295,289710,247974,229290,220498.29,210097.64,202298.55,176491.13,169714.78,163242.94,388065.69,172562
Eastford,50472,0,0,0,13599,0,0,0,0,0,168676,0
Easton,191200,4061394,1785829,168913,162210.71,146356.86,140343.05,270230.66,5963.93,5667.08,220123,825170
Ellington,4361428,187840,736728,280183,386205.97,127313.48,401059.94,117525.74,3148983.82,96632.28,817794.95,4103423
Enfield,7124197,1280399,1194730,1659957,0,976251,0,120674,6352,0,785014,27892513
Essex,129511,124727,119940,113113,2561245.11,201112.66,97061,0,0,217785,0,0
Fairfield,6049782,19891086,13348207,2733153,741231.44,1322387.92,127180.32,2366802.36,3308898.21,2070161.4,1528648.91,926295
Farmington,1555608,1814072,731452,1012374,944725.2,539326.22,509598.55,521774.44,414318.57,196113.82,179230.75,171125
Franklin,200892,190931,180949,170966,160983.43,151000.7,24497.54,85794,221756,79429,0,0
Glastonbury,1282864,2603153,10442442,9047931,2769419.59,404084.87,3700557.75,3605442.48,20387419.75,3492540.65,2817204.99,190169
Granby,1014148,4138341,4964229,2370311,534520.42,961913.03,446312.52,276415.72,34734,214410,238904,0
Greenwich,599653,470887,0,2165545,544632,1389857,2437992,772502,0,0,0,4018815
Griswold,1454439,1382744,1326644,1266251,1207554.39,8023807.84,20598159.67,11999947.89,2652765.18,-109371.38,0,1315565
Groton,655581,485847,3060514,23599650,21266458.97,4759164.37,489756.01,1277212.27,1909485.8,0,657466,12385
Guilford,1343657,1252672,1134139,1242935,1863373.11,710363.18,640890.42,284849.58,1408855.39,34873.68,6396197,13543393
Hamden,2799689,12105488,23379982,5834993,2824349.28,2363045.85,3759810.59,2157261.44,2038896.49,1972432.6,1698927.7,1629926
Hampton,167829,159727,151625,143523,135421.69,141743.91,0,0,224704,0,26230,0
Hartford,22922863,76721925,101919690,79673474,53892868.33,74717524.69,73105434.66,38090262.3,26901618.57,63540577.32,19715961.05,25754528
Hartland,110141,173313,86560,78195,74385.87,70577.05,66768.21,55806.46,0,0,250185,14755
Hebron,97262,421635,571600,1905,31676,0,0,0,74663,110826,0,37811
Kent,514638,0,0,0,32314,1701,0,0,0,0,0,0
Killingly,920147,1062940,1056705,1010779,4209509.81,25790429.39,22945384.97,543336.55,26821.32,0,0,2454332
Lebanon,888962,1704462,5240063,512081,1495811.86,497545.81,421986.34,129055.75,381672,0,0,-173909
Ledyard,657548,715937,177641,531314,362962.36,275757,920581.35,63995.64,-2489.15,45103,347969.49,0
Lisbon,920289,155799,188351,217169,0,0,480572,86836,0,0,0,0
Litchfield,0,591716,3043064,3857090,1173207,547355,142139,0,0,0,0,226625
Madison,3994226,797686,76046,34310,360097.42,450376.58,104197.43,62299.53,44094.07,39827.99,70954.76,27566
Manchester,2082124,1557936,2441990,18901699,8192040.22,1630972.33,3531649.92,595767.92,1035160.5,6049208.53,107282.66,933888
Mansfield,519524,366387,330379,295462,668185.88,390744.89,2463056,0,0,0,601134,0
Marlborough,2140773,2044007,0,0,455071,0,0,0,0,0,0,0
Meriden,12967809,5384597,6152939,3492297,2777239.62,214943,0,2348829,2230606,7058655,36029804,56055906
Middletown,3587906,3009800,10460550,23083307,11073906.85,16791100.98,195068.18,0,0,84924,0,49509
Milford,2400314,3472155,1187308,1538836,2939977.7,2806819.15,3243083.95,667232.56,4487417.39,2052564.77,651500.84,336233
Monroe,9995110,1528943,594517,600095,582032.77,563970.11,715661.69,526089.31,505477.76,488676.34,467699.26,448290
Montville,867994,1886446,2596709,11737521,6468059.16,4269164.02,2076885.38,3101040.83,147838.78,502414,50680,0
Naugatuck,1132920,1084883,1024757,592748,1926348,3970961.37,278700.15,1186329.11,252632.2,140393,12971906,26681888
New Britain,5611573,24453223,6079615,10859330,10481182.38,9049963.6,3047805.68,4374314.94,2834342.55,4773115.74,3802170.18,41708
New Canaan,500459,524088,9560533,2825416,2652099.56,417714.87,327205.31,319445.54,318325.06,310925.49,309861.64,269237
New Fairfield,1052991,1428637,668518,566046,532203.38,510399.86,489753.01,616296.05,4770416.14,2689931.83,301936.71,34213
New Hartford,492262,353081,719937,382171,253468.27,227968.15,0,60257.76,0,0,0,0
New Haven,85569588,70502253,73145851,122578976,105034840.9,102313366.8,72560322.36,58712357.87,49982659.61,24939912.11,22978173.23,26071875
New London,1104080,2272693,19343419,12077786,7566602.6,8232809.53,1910724.23,12903728.97,18159854.25,13291107.39,5570737.42,2372278
New Milford,2398418,2647065,2080803,1832415,1685220.22,1685416.99,1632361.32,1613662.63,1368314.84,1318573.61,1270302.91,1215920
Newington,1050235,6039477,4014949,225493,206113,757510,1080240,204543,1338406,161820,74678,1012699
Newtown,1255174,1252505,721449,985458,1036064.75,1054605.93,3597420.79,9137941.03,1903610.28,657611.33,898576.06,555937
Norfolk,76742,73657,70513,64659,95426,178787.83,0,0,0,0,0,0
North Branford,1847478,658243,683111,537930,520733.1,4325778.96,6706913.25,489379.71,1953367.64,3798246.35,3623970.6,306919
North Canaan,175518,167631,159755,151895,282338.37,139572.12,56659.07,53793.66,0,0,0,0
